,Long,Short
2013-01-01,0.036631857664928824,0.01544306880085985
2013-01-02,0.04393335700386314,0.02217287924512239
2013-01-03,0.029290772783310826,0.03881773206536328
2013-01-04,0.033089003517677185,0.04825105680806876
2013-01-07,0.018378835013850146,0.022958647434520064
2013-01-08,0.048619907506885385,0.045785215801572465
2013-01-09,0.021784793347521935,0.02518719300423359
2013-01-10,0.014361570185480566,0.0347301276896119
2013-01-11,0.0255661830440006,0.05870230474806613
2013-01-14,0.0318874998448667,0.033016339795948646
2013-01-15,0.021963182415123537,0.03693329443751562
2013-01-16,0.01784659763759868,0.06412037163452931
2013-01-17,0.026464461694715592,0.04402115763548621
2013-01-18,0.02093842131024597,0.047142520734717364
2013-01-21,0.03107755631745134,0.030536146882942927
2013-01-22,0.017619140975241587,0.032732191383414634
2013-01-23,0.007656442570600319,0.053402933117506116
2013-01-24,0.012755164897363069,0.047921970684937684
2013-01-25,0.03876566802787719,0.02024279704938512
2013-01-28,0.05503755634928299,0.030204221532159924
2013-01-29,0.011938982635594574,0.04417700961980664
2013-01-30,0.016987546167486302,0.03288729474713244
2013-01-31,0.02118558773951661,0.05392804780901245
2013-02-01,0.0171392774302351,0.030831011005708574
2013-02-04,0.024001871227857775,0.008144957615092785
2013-02-05,0.03430193031821802,0.029794426488476335
2013-02-06,0.02169937054960346,0.05070836283988541
2013-02-07,0.010435053965287943,0.052369841905053824
2013-02-08,0.023209484272742588,0.03141935257826066
2013-02-11,0.0319753748641002,0.04104682029047577
2013-02-12,0.029380535341599966,0.04078488615047552
2013-02-13,0.005746622778582455,0.0620310862378328
2013-02-14,0.000637836843103734,0.06222385062278577
2013-02-15,0.013326114111703858,0.04531929661056152
2013-02-18,0.02655336296351265,0.025685698813378444
2013-02-19,0.032607306225766616,0.015780065817297295
2013-02-20,0.026809518569607303,0.03524644678075717
2013-02-21,-0.0015557366173067021,0.030252484452991123
2013-02-22,0.02691195840614168,0.03542427495486976
2013-02-25,0.026861863418669085,0.04230062784085812
2013-02-26,0.006353196953278828,0.07081743118538784
2013-02-27,0.04728716292220706,0.04012101042496352
2013-02-28,0.01353550186823369,0.07592324073555934
2013-03-01,0.024520654873732485,0.04048825277386853
2013-03-04,0.016849718474350607,0.05918041207252807
2013-03-05,0.01909777639361445,0.03458724428550704
2013-03-06,0.023473034343462863,0.029965768578939532
2013-03-07,0.030547022941823675,0.04399845808921334
2013-03-08,0.015593632106329136,0.04828983902659166
2013-03-11,0.02851266331566058,0.03610455832513397
2013-03-12,0.045546197160020584,0.059919315993908005
2013-03-13,0.04983607314496179,0.05844664403571494
2013-03-14,0.026526294308781118,0.028126511478307102
2013-03-15,0.03103794527539593,0.05161407705677323
2013-03-18,0.04401575012255656,0.0308436338607321
2013-03-19,0.01900341702272813,0.05140982234138499
2013-03-20,0.028131992923103,0.07910080386614114
2013-03-21,0.0028883684877157425,0.05952071094329474
2013-03-22,0.0434297382845847,0.05040048862497506
2013-03-25,0.01949400804664254,0.06877510581593987
2013-03-26,0.030885878888730622,0.04231317722746876
2013-03-28,0.033058887833794647,0.047404364891507275
2013-04-01,0.031613497409954804,0.05376717637331876
2013-04-02,0.033173213028279705,0.030010490331596883
2013-04-03,0.023541903377614505,0.045988360078316005
2013-04-04,0.011505155654612775,0.040602178875691494
2013-04-05,0.013219775262968326,0.04480806593050687
2013-04-08,0.017505719810735332,0.044564799583130456
2013-04-09,0.009297593549670535,0.04495046634188456
2013-04-10,0.02322120529316222,0.041452211575115895
2013-04-11,0.02114491376298171,0.033658505014177297
2013-04-12,0.003698098686486284,0.046231655639523486
2013-04-15,0.05273739223446981,0.0395598064542529
2013-04-16,0.0264914033473036,0.013013458577928539
2013-04-17,0.0348596359108999,0.03360128298976398
2013-04-18,0.025522242907039906,0.023634949586667998
2013-04-22,0.0560453256394841,0.0497513501930569
2013-04-23,0.03311613756128771,0.0479571561914796
2013-04-25,0.04855949068148668,0.05150913761492805
2013-04-26,0.022601282776552156,0.043060430158716925
2013-04-29,0.04146091223394521,0.046803302636847934
2013-04-30,0.02582870796171368,0.0359026259537773
2013-05-02,0.020391325690810536,0.03174824345944817
2013-05-03,0.03221405550341425,0.022074834201061266
2013-05-06,0.023860333421885715,0.03258552640984698
2013-05-07,0.02931806458152373,0.040309001668200464
2013-05-08,0.03503111348819303,0.0009398455637724789
2013-05-09,0.016587493175375556,0.018787547600071508
2013-05-10,0.010839468584379064,0.018696097371660104
2013-05-13,0.01949748813332166,0.04359834765800512
2013-05-14,0.024899335619985908,0.039559915925647206
2013-05-15,0.02764140051968069,0.024892150464886686
2013-05-16,0.02338374112081799,0.005047092047187373
2013-05-17,0.022774012730669667,0.023699746945005196
2013-05-20,0.02281249993732649,0.030121111284335488
2013-05-21,0.004768450813575398,0.017360755089168477
2013-05-22,-0.0006107978123149338,0.03572376920374516
2013-05-23,0.022106916562730748,0.045267752440006026
2013-05-24,0.03079508094179285,0.03333682466775769
2013-05-27,0.03796901930941392,0.024616086417372472
2013-05-28,0.0288058498166996,0.03166485926967792
2013-05-29,0.017800794918033224,-0.003026159131424411
2013-05-30,0.01491243610831292,0.02007968284807714
2013-05-31,-0.003423346937685312,0.024309406605622717
2013-06-03,0.013543547957414259,0.041145924380044926
2013-06-04,0.026152632889971772,0.044384770135386296
2013-06-05,0.012368074764687442,0.01837548692105847
2013-06-06,0.019271103297175463,0.04992736746687247
2013-06-07,0.009579150759664113,0.022122155741479445
2013-06-10,0.028850582322249428,0.03990005916346494
2013-06-11,0.007578321992049486,0.05115519180062937
