2013-05-24,GTLINFRA,IRB,RPOWER
2013-05-27,MARUTI,NATIONALUM,TCS
2013-05-28,ANANTRAJ,NATIONALUM,TIDEWATER
2013-05-29,GET&D,CENTRALBK,TIMETECHNO
2013-05-30,SUNDRMFAST,SRTRANSFIN,GTLINFRA
2013-05-31,KTKBANK,RENUKA,JSWSTEEL
2013-06-03,CESC,EDELWEISS,HONAUT
2013-06-04,LINDEINDIA,MMFL,BRITANNIA
2013-06-05,TNPL,NLCINDIA,TEXINFRA
2013-06-06,RENUKA,TATAINVEST,BRITANNIA
2013-06-07,TIMKEN,KAJARIACER,MMFL
2013-06-10,ASTRAMICRO,ANANTRAJ,GAEL
2013-06-11,NIITLTD,UCOBANK,SEPC
2013-06-12,BOMDYEING,SWARAJENG,TATAINVEST
2013-06-13,HGS,TATAINVEST,GAEL
2013-06-14,ITI,IDFC,BAJAJHLDNG
2013-06-17,DIVISLAB,SEPC,TIDEWATER
2013-06-18,SUNFLAG,BHARATFORG,TEXINFRA
2013-06-19,SPIC,KCP,NAHARSPING
2013-06-20,GLOBUSSPR,HLVLTD,GODREJPROP
2013-06-21,TECHM,RENUKA,GAIL
2013-06-24,MARKSANS,ZYDUSLIFE,SWARAJENG
2013-06-25,GEOJITFSL,TNPL,TATAINVEST
2013-06-26,RENUKA,STLTECH,NIITLTD
2013-06-27,HTMEDIA,TNPL,SWARAJENG
2013-06-28,TNPL,IIFL,NIITLTD
2013-07-01,MARUTI,BAJAJHIND,BALMLAWRIE
2013-07-02,EIDPARRY,BOSCHLTD,TATAINVEST
2013-07-03,BANCOINDIA,HSCL,PURVA
2013-07-04,IDFC,RAJESHEXPO,TATAINVEST
2013-07-05,RENUKA,ASHAPURMIN,INDOCO
2013-07-08,IDFC,RELINFRA,MMFL
2013-07-09,ADORWELD,TIMKEN,M&MFIN
2013-07-10,RENUKA,TIMKEN,NESCO
2013-07-11,HAVELLS,BOSCHLTD,GRAPHITE
2013-07-12,BIRLACORPN,TIMKEN,ZEEMEDIA
2013-07-15,TATAMOTORS,SANGAMIND,KCP
2013-07-16,INDORAMA,MMFL,NAHARSPING
2013-07-17,GTLINFRA,ONMOBILE,ANANTRAJ
2013-07-18,BHARATFORG,IDFC,FDC
2013-07-19,BPCL,IDFC,TATAMETALI
2013-07-22,MAHSEAMLES,INDIACEM,TATAINVEST
2013-07-23,NIITLTD,MAHLIFE,ECLERX
2013-07-24,FDC,SWARAJENG,TATAINVEST
2013-07-25,ADORWELD,FEDERALBNK,BOMDYEING
2013-07-26,BRITANNIA,VINATIORGA,TATAINVEST
2013-07-29,JINDALSAW,BERGEPAINT,ICRA
2013-07-30,SUNFLAG,CANBK,TATAINVEST
2013-07-31,CLNINDIA,SUNFLAG,DCMSHRIRAM
2013-08-01,VAIBHAVGBL,SAREGAMA,STLTECH
2013-08-02,BRITANNIA,TATAINVEST,ANANTRAJ
2013-08-05,HAVELLS,LAXMIMACH,CENTRALBK
2013-08-06,LINDEINDIA,HSCL,GET&D
2013-08-07,GEPIL,VAIBHAVGBL,NIITLTD
2013-08-08,VAIBHAVGBL,DIVISLAB,INDUSINDBK
2013-08-12,PNBGILTS,VAIBHAVGBL,HGS
2013-08-13,ITI,PFIZER,TORNTPOWER
2013-08-14,IDFC,TIMKEN,IRB
2013-08-16,KOLTEPATIL,MMFL,BALMLAWRIE
2013-08-19,TNPL,BHARATFORG,PFIZER
2013-08-20,EMAMILTD,JINDRILL,ASHOKLEY
2013-08-21,BRITANNIA,IDBI,INDORAMA
2013-08-22,KARURVYSYA,BHARATFORG,PFIZER
2013-08-23,NDTV,IDBI,BANCOINDIA
2013-08-26,MRPL,LAOPALA,NIITLTD
2013-08-27,DEN,COSMOFILMS,TCS
2013-08-28,COSMOFILMS,FSL,BHARATFORG
2013-08-29,BRITANNIA,BAJAJHLDNG,ITC
2013-08-30,HLVLTD,GMDCLTD,WIPRO
2013-09-02,BRIGADE,IDBI,JISLJALEQS
2013-09-03,IDBI,GTLINFRA,GLOBUSSPR
2013-09-04,SHILPAMED,IDBI,BALMLAWRIE
2013-09-05,GLOBUSSPR,ZEEL,DAAWAT
2013-09-06,TATAMETALI,SASKEN,SWARAJENG
2013-09-10,INDORAMA,JKTYRE,STLTECH
2013-09-11,NATIONALUM,STLTECH,PNB
2013-09-12,SWARAJENG,ZEEMEDIA,INDORAMA
2013-09-13,JINDRILL,STLTECH,GTLINFRA
2013-09-16,VAIBHAVGBL,SPIC,KOLTEPATIL
2013-09-17,IRB,ANANTRAJ,GSFC
2013-09-18,KAJARIACER,BFUTILITIE,MAHLIFE
