2013-01-01,ITC,APOLLOHOSP,DIVISLAB,HCLTECH,TECHM
2013-01-02,APOLLOHOSP,NTPC,TCS,POWERGRID,ASIANPAINT
2013-01-03,POWERGRID,EICHERMOT,BAJFINANCE,APOLLOHOSP,RELIANCE
2013-01-04,INFY,BAJFINANCE,EICHERMOT,TCS,RELIANCE
2013-01-07,INFY,ONGC,ULTRACEMCO,TCS,WIPRO
2013-01-08,SBIN,HDFCBANK,TCS,HEROMOTOCO,ADANIPORTS
2013-01-09,UPL,AXISBANK,TCS,SBIN,SHREECEM
2013-01-10,NESTLEIND,HINDALCO,BAJAJFINSV,BAJAJ-AUTO,SUNPHARMA
2013-01-11,GRASIM,BAJAJ-AUTO,NESTLEIND,ONGC,SHREECEM
2013-01-14,EICHERMOT,NESTLEIND,ICICIBANK,M&M,MARUTI
2013-01-15,MARUTI,ADANIPORTS,EICHERMOT,SBIN,ICICIBANK
2013-01-16,TCS,POWERGRID,BPCL,INDUSINDBK,DRREDDY
2013-01-17,SBIN,ITC,TATAMOTORS,BAJAJFINSV,RELIANCE
2013-01-18,EICHERMOT,HDFCBANK,BPCL,INDUSINDBK,M&M
2013-01-21,ADANIPORTS,SBIN,TATAMOTORS,BAJAJFINSV,SHREECEM
2013-01-22,HDFCBANK,BHARTIARTL,BAJFINANCE,SBIN,SHREECEM
2013-01-23,TITAN,ONGC,SBIN,TATACONSUM,KOTAKBANK
2013-01-24,SBIN,TATACONSUM,DIVISLAB,BAJAJFINSV,ICICIBANK
2013-01-25,APOLLOHOSP,SBIN,ADANIPORTS,POWERGRID,INFY
2013-01-28,HDFC,TITAN,POWERGRID,EICHERMOT,KOTAKBANK
2013-01-29,APOLLOHOSP,TATACONSUM,EICHERMOT,BAJAJFINSV,INFY
2013-01-30,BAJAJ-AUTO,NESTLEIND,HEROMOTOCO,ADANIPORTS,INDUSINDBK
2013-01-31,HDFCBANK,ULTRACEMCO,BRITANNIA,JSWSTEEL,APOLLOHOSP
2013-02-01,ULTRACEMCO,ICICIBANK,SBIN,TCS,HCLTECH
2013-02-04,ULTRACEMCO,ICICIBANK,BRITANNIA,ADANIPORTS,DRREDDY
2013-02-05,DIVISLAB,BRITANNIA,ADANIPORTS,SBIN,ASIANPAINT
2013-02-06,JSWSTEEL,SBIN,HINDALCO,BRITANNIA,TATACONSUM
2013-02-07,ITC,NESTLEIND,SBIN,HINDALCO,INFY
2013-02-08,TATAMOTORS,BAJAJFINSV,HINDALCO,APOLLOHOSP,INDUSINDBK
2013-02-11,UPL,DIVISLAB,MARUTI,ITC,INFY
2013-02-12,LT,CIPLA,TATAMOTORS,SBIN,KOTAKBANK
2013-02-13,BPCL,TATAMOTORS,LT,NTPC,HEROMOTOCO
2013-02-14,MARUTI,BHARTIARTL,POWERGRID,HINDALCO,INFY
2013-02-15,TATAMOTORS,ICICIBANK,HINDALCO,AXISBANK,MARUTI
2013-02-18,HCLTECH,SBIN,HINDALCO,TITAN,JSWSTEEL
2013-02-19,BAJFINANCE,TITAN,AXISBANK,TECHM,HEROMOTOCO
2013-02-20,HINDALCO,BAJAJFINSV,SBIN,POWERGRID,INDUSINDBK
