,Long,Short
2018-01-01,0.005803694763899914,0.02834442283105551
2018-01-02,-0.01818932857576855,0.021846172287149412
2018-01-03,0.014906243910949968,0.0005822396841761446
2018-01-04,0.0033469070492355146,-0.005660681587206395
2018-01-05,0.02492165418886383,0.012804373137739133
2018-01-08,0.009872672070671218,6.333127337995736e-05
2018-01-09,-0.0007331809789996868,0.015899816702119735
2018-01-10,0.0073153814618506785,0.022500324588536263
2018-01-11,0.004726527234164918,0.022527830392732373
2018-01-12,0.02279612462033065,0.009508555409560582
2018-01-15,0.007751342352580792,0.025331131318169997
2018-01-16,-0.01620313541682683,0.06370900387136377
2018-01-17,0.01074357015267663,0.01566695305086413
2018-01-18,-0.000899326265781486,0.04845588235294118
2018-01-19,0.011559760466304692,0.02601330185703496
2018-01-22,0.03190028986847643,0.021890280647889504
2018-01-23,0.011389147782808529,-0.0015388189542348274
2018-01-24,0.007815789059380795,0.012484808106017986
2018-01-25,0.0034374600406483213,0.02453416050456117
2018-01-29,-0.010944294350253625,0.004457948557604063
2018-01-30,0.007151322922817588,0.043733275481861456
2018-01-31,0.004202053245716153,0.026204975408416875
2018-02-01,-0.0026026996516834155,0.029972235817671306
2018-02-02,-0.013360148694202073,0.044281861879064494
2018-02-05,0.024351206203477027,-0.004252385157206662
2018-02-06,0.010422430238542807,-0.022549653658056446
2018-02-07,0.01434225515339238,0.006883584430457584
2018-02-08,0.013758866544192283,-0.013189255066392902
2018-02-09,0.02767390935438252,-0.013422947390429624
2018-02-12,0.0139585256217859,0.015414895024995656
2018-02-14,-0.009265277623272977,0.013284517930780393
2018-02-15,0.0016755060550090184,0.038054278366367406
2018-02-16,-0.005664416060437161,0.021610538922842315
2018-02-19,0.01499955572939135,0.026360637353809585
2018-02-20,0.012952096259255086,0.012359789571674273
2018-02-21,-0.0015315978149606502,0.025958370482409704
2018-02-22,-0.001185973235852178,0.021420742651327956
2018-02-23,0.00804507220772116,0.0179074124449351
2018-02-26,0.03445910827230736,0.012438539361249251
2018-02-27,-0.006384219774507011,0.016628344806669526
2018-02-28,0.010987738080473541,0.018833330188481573
2018-03-01,0.01967467098511899,0.028109232532749384
2018-03-05,-0.0027279689972060928,0.04856098676068643
2018-03-06,-0.00034660296720326333,0.03149781321579073
2018-03-07,-0.016470478255579374,0.00905964575699969
2018-03-08,0.011275130568810465,0.03948539093012887
2018-03-09,0.005717838538580766,0.019687246665131414
2018-03-12,0.0053450040538716714,0.022759324231274525
2018-03-13,0.01226435599362502,-0.0049698795594739775
2018-03-14,0.008008268319197681,0.002033140680471307
2018-03-15,0.015150045371786769,-0.009345259201914369
2018-03-16,-0.008327916633297294,0.03174470868104057
2018-03-19,-0.004092374353835443,0.024761146050148508
2018-03-20,0.011940154588445967,0.026529145143453003
2018-03-21,0.013339796369886747,0.038289179348203556
2018-03-22,-0.011508130369464964,0.030656230754908864
2018-03-23,0.012420407167608533,0.04286948600128279
2018-03-26,0.02430703383545374,0.025632387327385875
2018-03-27,0.017319336722701417,0.013861585465000742
2018-03-28,0.018127339397934317,0.015217121934881866
2018-04-02,0.024494938060932447,-0.014050616927550386
2018-04-03,0.04123991964249485,-0.009178704892626538
2018-04-04,-0.0001835645512500983,-0.005473053064131039
2018-04-05,0.06481390328028747,0.001407054565652599
2018-04-06,0.01227346698041143,0.00781293842864661
2018-04-09,0.01087358084236864,0.023835409059074775
2018-04-10,0.00343213131775591,-0.0008314291480038538
2018-04-11,0.009563612557590861,-4.8184657716943136e-05
2018-04-12,0.002982354067715687,0.021845177918555808
2018-04-13,0.013965234463105825,-0.019107976243788016
2018-04-16,0.020598994622709588,0.014727926013952786
2018-04-17,0.005806020035500015,0.02550608802726692
2018-04-18,0.02305070963596753,0.010685033704704333
2018-04-19,0.01866011615761226,0.015438845162345671
2018-04-20,0.017374097390466636,-0.012285188788315249
2018-04-23,0.024759161223295856,0.008366255392762367
2018-04-24,0.015573672176048964,0.021671292169847062
2018-04-25,0.0023819528565595383,0.026887693277350577
2018-04-26,0.0038099859082791065,0.03217930830871024
2018-04-27,0.015277963845047982,0.023444244063257097
2018-04-30,0.014516289224579093,-0.0015676737543652841
2018-05-02,0.00901234157454428,0.06401063273697644
2018-05-03,0.003998308054374955,0.03689404781272332
2018-05-04,-0.0034040144542352713,0.03668605276286463
2018-05-07,0.01322972775352016,0.012410279752077646
2018-05-08,-0.01318146068996845,0.01747821512201453
2018-05-09,0.0120408991010241,0.006282714059354377
2018-05-10,-0.006874797627563878,0.030350892823393566
2018-05-11,-0.007069655182323886,0.016499631687964394
2018-05-14,0.028995623248097957,0.0045722364723174425
2018-05-15,0.005593025440301852,0.036087259799331084
2018-05-16,0.027377532934985516,0.03553622566643347
2018-05-17,0.019334488033366237,0.00795347197297222
2018-05-18,0.006437432975257118,0.020067363136834077
2018-05-21,-0.003255569948155984,0.03183391745796879
2018-05-22,0.006352910475701412,-0.01692459240478017
2018-05-23,-0.011865305211810034,0.028054026169187424
2018-05-24,0.020536744753441805,0.011930877031351567
2018-05-25,-0.023328722429294846,0.01665688683015179
2018-05-28,0.027627053650210343,0.008676478981000962
2018-05-29,0.007923976071570332,0.0269685112503302
2018-05-30,0.0071733499171544035,0.002671241917208078
2018-05-31,-0.0008356105702359007,0.01922568537251393
2018-06-01,-0.00235171322412539,0.027509990129291978
2018-06-04,0.00835545323890427,0.032242348872523474
2018-06-05,0.00419501480536541,0.05987161216762055
2018-06-06,0.018238563072278807,0.0038627382684161826
2018-06-07,0.00959966835613496,0.016093280893002465
