2015-03-04,LT,BRIGADE,ACE,NCC,IDBI,CIPLA,GRASIM,EPL,TV18BRDCST,PHOENIXLTD
2015-03-05,IDBI,LT,CIPLA,SELMC,NESCO,MOTILALOFS,DREDGECORP,NHPC,AARTIIND,IRB
2015-03-09,IDBI,LUPIN,HTMEDIA,PHOENIXLTD,CIPLA,DEN,EVEREADY,NHPC,NESCO,LT
2015-03-10,TEXINFRA,MOTILALOFS,DEN,PHOENIXLTD,IDBI,GICHSGFIN,MHRIL,CLNINDIA,VENKEYS,GMRINFRA
2015-03-11,GICHSGFIN,NFL,DEN,SUPRAJIT,CLNINDIA,GMRINFRA,MOTILALOFS,EPL,JAICORPLTD,CUMMINSIND
2015-03-12,DEN,CLNINDIA,MOTILALOFS,EPL,LT,DISHTV,TVSMOTOR,NESCO,SUPRAJIT,IFBAGRO
2015-03-13,DEN,CLNINDIA,MHRIL,NITINSPIN,IFBAGRO,LT,SOUTHBANK,VENKEYS,MOTILALOFS,TINPLATE
2015-03-16,DEN,CLNINDIA,VENKEYS,SOUTHBANK,IOC,NESCO,EPL,WELCORP,LAOPALA,MAHSEAMLES
2015-03-17,CLNINDIA,CUMMINSIND,EPL,LT,JKCEMENT,BANKINDIA,LAOPALA,BIRLACORPN,MOREPENLAB,CONCOR
2015-03-18,LT,TCI,CUMMINSIND,GLOBUSSPR,MHRIL,ADANIPOWER,MOREPENLAB,VENKEYS,BANKINDIA,VTL
2015-03-19,MHRIL,IFBIND,CUMMINSIND,BANKINDIA,WIPRO,EPL,TCI,DWARKESH,SELMC,DEN
2015-03-20,FIEMIND,JKCEMENT,DEN,RSWM,MOREPENLAB,SELMC,VENKEYS,IFBIND,MHRIL,TATACOMM
2015-03-23,RSWM,HONDAPOWER,GMRINFRA,DEN,CLNINDIA,JKCEMENT,IFBIND,NFL,SELMC,MHRIL
2015-03-24,RSWM,INFY,GMRINFRA,PCBL,DEN,GICHSGFIN,JKCEMENT,IFBIND,SELMC,HONDAPOWER
2015-03-25,INFY,SELMC,TVSMOTOR,JKCEMENT,GICHSGFIN,CUMMINSIND,CLNINDIA,TV18BRDCST,KALPATPOWR,VENKEYS
2015-03-26,BASF,JISLJALEQS,SELMC,JKCEMENT,INFY,IFBAGRO,CUMMINSIND,IDBI,HINDZINC,JAICORPLTD
2015-03-27,JKCEMENT,GICHSGFIN,TCI,VENKEYS,CLNINDIA,RCF,HINDZINC,PFOCUS,IDBI,CUMMINSIND
2015-03-30,GICHSGFIN,CLNINDIA,DISHTV,TCI,SELMC,VENKEYS,IDBI,GIPCL,JKCEMENT,NFL
2015-03-31,DISHTV,MHRIL,VENKEYS,GICHSGFIN,NFL,CLNINDIA,JKCEMENT,TCI,SELMC,ELGIEQUIP
2015-04-01,VENKEYS,TAJGVK,MHRIL,IFBIND,DCW,TCI,CLNINDIA,SELMC,SEPC,CYIENT
2015-04-06,VENKEYS,CLNINDIA,DCMSHRIRAM,NFL,CYIENT,IFBIND,JAICORPLTD,ACE,SELMC,TATACOMM
2015-04-07,CLNINDIA,JAICORPLTD,DISHTV,EVEREADY,CYIENT,IFBIND,TCI,BAJAJELEC,AUROPHARMA,NCLIND
2015-04-08,JAICORPLTD,IFBIND,TCI,EVEREADY,KPRMILL,CYIENT,VTL,PATELENG,NCC,GILLETTE
2015-04-09,EVEREADY,NCC,VENKEYS,CIPLA,CYIENT,BIRLACORPN,NRBBEARING,NFL,MOTHERSUMI,GHCL
2015-04-10,VENKEYS,MHRIL,TCI,BIRLACORPN,EVEREADY,NCC,KPRMILL,BANKINDIA,VTL,NITINSPIN
2015-04-13,MHRIL,IFBIND,VENKEYS,CYIENT,PATELENG,NFL,BIRLACORPN,AJANTPHARM,WIPRO,EVEREADY
2015-04-15,MHRIL,AJANTPHARM,BIRLACORPN,PATELENG,JKCEMENT,IGL,WIPRO,DISHTV,ELGIEQUIP,VTL
2015-04-16,MHRIL,AJANTPHARM,JAICORPLTD,DISHTV,THOMASCOOK,WIPRO,ELGIEQUIP,HEIDELBERG,SUNPHARMA,AUROPHARMA
2015-04-17,MHRIL,DISHTV,JAICORPLTD,VLSFINANCE,NFL,VTL,WOCKPHARMA,SELMC,NCLIND,TCI
