2014-02-25,JKCEMENT,ZEEL,BANKBARODA,TINPLATE,HGS,GMRINFRA,SOUTHBANK,IFBAGRO,BIRLACORPN,HIKAL
2014-02-26,JKCEMENT,GODREJPROP,TCI,ZEEL,KCP,CIPLA,TINPLATE,DISHTV,WIPRO,BIRLACORPN
2014-02-28,JKCEMENT,TCI,TINPLATE,CIPLA,BIRLACORPN,GHCL,VTL,WIPRO,LUPIN,DISHTV
2014-03-03,JKCEMENT,CIPLA,VIMTALABS,MOREPENLAB,SOUTHBANK,TINPLATE,TCI,GILLETTE,BIRLACORPN,MAHSEAMLES
2014-03-04,JKCEMENT,TCI,HINDPETRO,GILLETTE,TINPLATE,VIMTALABS,CIPLA,SOUTHBANK,FORTIS,DISHTV
2014-03-05,GILLETTE,CIPLA,FORTIS,LUPIN,MOREPENLAB,BIRLACORPN,GMDCLTD,CGPOWER,DISHTV,MAHSEAMLES
2014-03-06,NAUKRI,MAHSEAMLES,CIPLA,GILLETTE,SOUTHBANK,BIRLACORPN,FIEMIND,DISHTV,AKZOINDIA,THERMAX
2014-03-07,CIPLA,GILLETTE,BIRLACORPN,EKC,HCL-INSYS,DISHTV,TVSMOTOR,NAUKRI,AKZOINDIA,AUROPHARMA
2014-03-10,CIPLA,FORTIS,KCP,DVL,DIVISLAB,NAUKRI,CUMMINSIND,AUROPHARMA,MAHSEAMLES,DISHTV
2014-03-11,KCP,AKZOINDIA,CIPLA,OFSS,MAHSEAMLES,BIOCON,GLOBUSSPR,TV18BRDCST,TAJGVK,TCI
2014-03-12,TV18BRDCST,CIPLA,SHRIRAMCIT,TNPETRO,SOUTHBANK,MAHSEAMLES,PFOCUS,AKZOINDIA,IGL,DISHTV
2014-03-13,TV18BRDCST,SUVEN,MAHSEAMLES,HONAUT,SOUTHBANK,PFOCUS,NBVENTURES,DISHTV,EVEREADY,GOKEX
2014-03-14,TV18BRDCST,HONAUT,TCI,MAHSEAMLES,BFUTILITIE,SOUTHBANK,PFOCUS,EVEREADY,NBVENTURES,BIOCON
2014-03-18,HONAUT,KPRMILL,GMRINFRA,PFOCUS,IRB,MAHSEAMLES,ZEEL,GIPCL,FORTIS,NBVENTURES
2014-03-19,KPRMILL,GIPCL,PFOCUS,BIOCON,SHRIRAMCIT,IGL,ZEEL,MAHSEAMLES,FORTIS,IPCALAB
2014-03-20,KPRMILL,IRB,LAOPALA,IGL,TIDEWATER,GIPCL,TATACOFFEE,SRF,TV18BRDCST,ZYDUSWELL
2014-03-21,GIPCL,HONAUT,LAOPALA,IRB,FORTIS,BIOCON,BFUTILITIE,KPRMILL,BAJAJHIND,SHRIRAMCIT
2014-03-24,KPRMILL,GIPCL,HONAUT,LAOPALA,BIOCON,TTML,CESC,ZYDUSWELL,LUPIN,HUHTAMAKI
2014-03-25,GIPCL,CIPLA,WELSPUNIND,JETAIRWAYS,AKZOINDIA,LAOPALA,BIOCON,TTML,LUPIN,BALMLAWRIE
2014-03-26,GIPCL,SHREECEM,LAOPALA,CIPLA,AKZOINDIA,HINDPETRO,BIOCON,PVR,IDBI,DVL
2014-03-27,GIPCL,CIPLA,JETAIRWAYS,SHREECEM,SUBROS,SEAMECLTD,SOUTHBANK,NFL,SELMC,KPRMILL
2014-03-28,GIPCL,SELMC,BALMLAWRIE,NBVENTURES,CIPLA,BLUESTARCO,SHRIRAMCIT,SEAMECLTD,AKZOINDIA,63MOONS
2014-03-31,BIOCON,PFOCUS,SEAMECLTD,POONAWALLA,FACT,LUPIN,LAOPALA,NFL,SELMC,MAHSEAMLES
2014-04-01,PFOCUS,TV18BRDCST,BIOCON,POONAWALLA,SEAMECLTD,LUPIN,AUROPHARMA,NBVENTURES,KALPATPOWR,CESC
2014-04-02,63MOONS,IFBIND,CESC,TCI,SEAMECLTD,SUNTV,TV18BRDCST,TAJGVK,GREAVESCOT,JAGRAN
2014-04-03,KPRMILL,THOMASCOOK,M&M,CESC,TV18BRDCST,HEG,PFOCUS,GESHIP,63MOONS,SOUTHBANK
2014-04-04,THERMAX,CESC,TTML,COLPAL,ZYDUSWELL,TV18BRDCST,BIOCON,SOUTHBANK,EVEREADY,HEG
2014-04-07,GIPCL,CESC,BIOCON,SOUTHBANK,HEG,SHRIRAMCIT,POONAWALLA,CIPLA,NFL,DIGISPICE
2014-04-09,GIPCL,SHRIRAMCIT,CESC,SOUTHBANK,RAMCOIND,TV18BRDCST,SUBROS,NFL,GESHIP,TINPLATE
2014-04-10,GIPCL,CESC,SOUTHBANK,JINDRILL,RAMCOIND,OMAXE,NFL,VENKEYS,SHRIRAMCIT,TINPLATE
2014-04-11,GIPCL,ZYDUSWELL,RAMCOIND,EVEREADY,SOUTHBANK,VENKEYS,CIPLA,63MOONS,DIGISPICE,ITI
2014-04-15,SHRIRAMCIT,BIOCON,BAJAJHLDNG,TV18BRDCST,ITI,SOUTHBANK,APOLLOHOSP,HINDALCO,DIGISPICE,MHRIL
2014-04-16,SHRIRAMCIT,SOUTHBANK,APOLLOHOSP,FORTIS,GESHIP,EVEREADY,CIPLA,SUBEXLTD,TATASTEEL,GIPCL
2014-04-17,SOUTHBANK,CIPLA,EVEREADY,SHRIRAMCIT,MHRIL,THOMASCOOK,DVL,PFOCUS,LICHSGFIN,63MOONS
2014-04-21,SHRIRAMCIT,CIPLA,EVEREADY,MANGCHEFER,APOLLOTYRE,MHRIL,EKC,SUBROS,LUPIN,DVL
2014-04-22,CIPLA,TIMKEN,SHRIRAMCIT,DVL,BHARATFORG,SHREECEM,JKPAPER,ZYDUSWELL,63MOONS,PFOCUS
2014-04-23,SHRIRAMCIT,CIPLA,APOLLOTYRE,63MOONS,MAHABANK,ZYDUSWELL,TIMKEN,LICHSGFIN,DVL,LUPIN
2014-04-25,CIPLA,SHRIRAMCIT,63MOONS,ZYDUSWELL,GIPCL,SHREECEM,HTMEDIA,SUBROS,LICHSGFIN,BAJAJHIND
2014-04-28,ZYDUSWELL,APOLLOHOSP,ADANIENT,BAJAJHLDNG,DVL,INSECTICID,DISHTV,AMRUTANJAN,HBLPOWER,SWARAJENG
2014-04-29,HTMEDIA,KCP,BAJAJHLDNG,SWARAJENG,SCI,INSECTICID,GODREJCP,FORTIS,LUPIN,BHARATFORG
2014-04-30,KCP,CIPLA,BAJAJHLDNG,FORTIS,BERGEPAINT,TV18BRDCST,DVL,GODREJCP,DISHTV,TEXINFRA
2014-05-02,KCP,DVL,APOLLOHOSP,HIMATSEIDE,SHREECEM,SWARAJENG,DISHTV,TV18BRDCST,APOLLOTYRE,63MOONS
2014-05-05,FORTIS,KCP,APOLLOHOSP,HIKAL,DVL,AMRUTANJAN,DISHTV,PATELENG,FIEMIND,HIMATSEIDE
2014-05-06,KCP,IGL,HIKAL,RCOM,PATELENG,FORTIS,DISHTV,GSPL,KALPATPOWR,HIMATSEIDE
2014-05-07,KCP,HIMATSEIDE,APOLLOHOSP,DVL,HIKAL,RAMCOIND,SHREECEM,FORTIS,CIPLA,LICHSGFIN
2014-05-08,KCP,SRF,SHREECEM,FORTIS,63MOONS,BERGEPAINT,SHRIRAMCIT,RAMCOIND,TIMKEN,HIKAL
2014-05-09,TIMKEN,KCP,IGL,HIKAL,MAHSEAMLES,APOLLOHOSP,HTMEDIA,SRF,SHREECEM,HIMATSEIDE
2014-05-12,KCP,TIMKEN,SRF,HIMATSEIDE,FORTIS,IGL,BAJAJHLDNG,GTLINFRA,APOLLOHOSP,BERGEPAINT
2014-05-13,MAHSEAMLES,SHREECEM,FORTIS,SRF,BAJAJHLDNG,TATASTLLP,SUZLON,LICHSGFIN,TIDEWATER,CIPLA
2014-05-14,FORTIS,SHREECEM,KCP,GTLINFRA,GAIL,SOUTHBANK,DEN,DISHTV,SUZLON,CESC
2014-05-15,GTLINFRA,LICHSGFIN,DISHTV,BIOCON,RADICO,AUROPHARMA,APOLLOHOSP,IGL,KCP,CESC
