2013-02-28,SHREECEM,ONGC,GRASIM,AXISBANK,HINDUNILVR,BPCL,BRITANNIA,TATACONSUM
2013-03-01,ICICIBANK,HDFC,TATACONSUM,BAJFINANCE,CIPLA,TITAN,BAJAJFINSV,EICHERMOT
2013-03-04,TECHM,CIPLA,POWERGRID,NTPC,ITC,BHARTIARTL,JSWSTEEL,BAJFINANCE
2013-03-05,LT,GRASIM,RELIANCE,ICICIBANK,ITC,INDUSINDBK,TECHM,EICHERMOT
2013-03-06,BHARTIARTL,ITC,AXISBANK,INDUSINDBK,TCS,ICICIBANK,BRITANNIA,EICHERMOT
2013-03-07,JSWSTEEL,INDUSINDBK,BAJFINANCE,BHARTIARTL,MARUTI,EICHERMOT,ITC,ULTRACEMCO
2013-03-08,RELIANCE,HDFCBANK,KOTAKBANK,BAJAJFINSV,TCS,M&M,SBIN,BPCL
2013-03-11,BAJFINANCE,MARUTI,CIPLA,TECHM,HCLTECH,BRITANNIA,EICHERMOT,SBIN
2013-03-12,TECHM,ASIANPAINT,RELIANCE,EICHERMOT,HINDALCO,BAJAJFINSV,TATACONSUM,BRITANNIA
2013-03-13,BHARTIARTL,BAJFINANCE,TATACONSUM,NTPC,HCLTECH,SUNPHARMA,APOLLOHOSP,BAJAJFINSV
2013-03-14,NESTLEIND,GRASIM,TATAMOTORS,DIVISLAB,TITAN,NTPC,CIPLA,BAJAJFINSV
2013-03-15,HINDALCO,RELIANCE,BHARTIARTL,SUNPHARMA,AXISBANK,MARUTI,ONGC,CIPLA
2013-03-18,POWERGRID,NESTLEIND,TITAN,EICHERMOT,BHARTIARTL,ULTRACEMCO,DIVISLAB,BRITANNIA
2013-03-19,HDFCBANK,INFY,BAJFINANCE,M&M,TATASTEEL,INDUSINDBK,SHREECEM,SBIN
2013-03-20,BAJFINANCE,NESTLEIND,INDUSINDBK,GRASIM,BHARTIARTL,EICHERMOT,HDFCBANK,APOLLOHOSP
2013-03-21,TECHM,LT,ULTRACEMCO,NTPC,BHARTIARTL,BAJAJFINSV,INDUSINDBK,EICHERMOT
2013-03-22,SUNPHARMA,HINDALCO,ICICIBANK,CIPLA,ONGC,M&M,BAJAJFINSV,NTPC
2013-03-25,RELIANCE,SBIN,KOTAKBANK,AXISBANK,BRITANNIA,ITC,DRREDDY,HDFCBANK
2013-03-26,INFY,POWERGRID,HDFC,KOTAKBANK,ADANIPORTS,GRASIM,EICHERMOT,APOLLOHOSP
2013-03-28,HEROMOTOCO,TECHM,INFY,HDFCBANK,UPL,SUNPHARMA,SBIN,HCLTECH
2013-04-01,SBIN,INDUSINDBK,CIPLA,ADANIPORTS,EICHERMOT,ICICIBANK,NTPC,BRITANNIA
2013-04-02,SBIN,KOTAKBANK,ITC,M&M,BHARTIARTL,CIPLA,HCLTECH,TECHM
2013-04-03,CIPLA,SBIN,AXISBANK,EICHERMOT,ONGC,RELIANCE,ADANIPORTS,NTPC
2013-04-04,BAJFINANCE,DIVISLAB,TITAN,APOLLOHOSP,KOTAKBANK,EICHERMOT,NTPC,BAJAJFINSV
2013-04-05,GRASIM,RELIANCE,MARUTI,BRITANNIA,EICHERMOT,KOTAKBANK,SBIN,NTPC
2013-04-08,ADANIPORTS,BAJAJ-AUTO,JSWSTEEL,BAJFINANCE,SBIN,M&M,EICHERMOT,BRITANNIA
2013-04-09,KOTAKBANK,BPCL,HEROMOTOCO,NESTLEIND,BAJAJFINSV,JSWSTEEL,BRITANNIA,WIPRO
2013-04-10,BRITANNIA,APOLLOHOSP,JSWSTEEL,BHARTIARTL,ITC,CIPLA,SUNPHARMA,EICHERMOT
2013-04-11,WIPRO,CIPLA,ICICIBANK,TATASTEEL,TATAMOTORS,BHARTIARTL,HCLTECH,INDUSINDBK
2013-04-12,JSWSTEEL,NTPC,HDFCBANK,SUNPHARMA,TECHM,APOLLOHOSP,ULTRACEMCO,SBIN
2013-04-15,SUNPHARMA,BAJAJFINSV,HDFCBANK,ASIANPAINT,ADANIPORTS,ITC,BHARTIARTL,BAJFINANCE
2013-04-16,SHREECEM,HINDALCO,TATAMOTORS,RELIANCE,TATACONSUM,ONGC,ITC,SBIN
2013-04-17,ITC,SBIN,BHARTIARTL,ONGC,HDFC,APOLLOHOSP,EICHERMOT,HCLTECH
2013-04-18,HDFCBANK,ULTRACEMCO,JSWSTEEL,DRREDDY,KOTAKBANK,HCLTECH,SHREECEM,TATASTEEL
2013-04-22,M&M,BHARTIARTL,LT,SUNPHARMA,ADANIPORTS,AXISBANK,ICICIBANK,SHREECEM
2013-04-23,JSWSTEEL,HEROMOTOCO,ASIANPAINT,AXISBANK,DIVISLAB,LT,ICICIBANK,SHREECEM
2013-04-25,LT,EICHERMOT,SHREECEM,ITC,INDUSINDBK,TATACONSUM,ICICIBANK,AXISBANK
2013-04-26,NESTLEIND,KOTAKBANK,HDFCBANK,SBIN,EICHERMOT,ASIANPAINT,ULTRACEMCO,BPCL
2013-04-29,SBIN,JSWSTEEL,ONGC,SUNPHARMA,BRITANNIA,BPCL,HINDALCO,ULTRACEMCO
2013-04-30,BAJAJFINSV,ITC,APOLLOHOSP,SBIN,HEROMOTOCO,MARUTI,BPCL,HDFC
2013-05-02,APOLLOHOSP,WIPRO,BAJFINANCE,TECHM,ASIANPAINT,ULTRACEMCO,SBIN,EICHERMOT
2013-05-03,TITAN,BAJFINANCE,TCS,JSWSTEEL,SBIN,ULTRACEMCO,ADANIPORTS,BPCL
2013-05-06,BAJFINANCE,WIPRO,ONGC,ADANIPORTS,POWERGRID,HCLTECH,SUNPHARMA,APOLLOHOSP
2013-05-07,TATACONSUM,LT,ONGC,NESTLEIND,SHREECEM,ASIANPAINT,HCLTECH,SUNPHARMA
2013-05-08,HDFCBANK,ICICIBANK,HINDUNILVR,BAJFINANCE,ITC,BAJAJFINSV,ASIANPAINT,EICHERMOT
2013-05-09,HCLTECH,TCS,TITAN,BAJFINANCE,JSWSTEEL,BHARTIARTL,APOLLOHOSP,HDFCBANK
2013-05-10,TECHM,GRASIM,ADANIPORTS,HCLTECH,AXISBANK,EICHERMOT,MARUTI,WIPRO
2013-05-13,CIPLA,HINDUNILVR,SUNPHARMA,BAJAJFINSV,POWERGRID,ASIANPAINT,TECHM,DRREDDY
2013-05-14,WIPRO,BPCL,ONGC,INFY,BAJAJFINSV,TECHM,DRREDDY,EICHERMOT
