Date,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SHREECEM,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
2016-01-01,267.55,1460.8,877.221,449.9,2518,1219.17,1983.8,291.5443,340.5,1493.2,655.35,1162.5,3108.6,1737.085,616.5591,422.925,544.375,2686.05,84.9,856.55,1258.45,239.0909,217.1182,963.85,548.2902,102.7,727.25,859.4671,632.675,4638.5,120.4162,5638.95,161.6667,105.75,507.675,11312.61,227.8,815.55,1208.2,146.4,401.9,245.2345,513.8619,352.05,293.5681,2824,208.6688
2016-01-04,257.95,1450.1,879.2674,438.4,2483.35,1210.49,1959.5,290.0476,326.8,1486.3,645.65,1149.7,3056,1749.53,598.4768,422.975,535.25,2637.8,80.75,859,1216.7,232.3182,215.5271,934.2,535.2186,104.47,705.3,837.3004,621.25,4580.65,119.4162,5632.55,158.7001,105.7125,497.65,10990.38,220.7,799.1,1184.8,143.7,377.05,244.7581,510.2554,351.4,289.2348,2749.15,209.1375
2016-01-05,255.7,1468.5,899.0829,436.45,2502.35,1199.57,1946,293.6917,323.45,1483.35,640.85,1147.5,3070.65,1715.99,598.7795,421.4,531.2,2616.85,82.6,847.95,1209.4,233.3637,215.3614,935.25,532.8126,108.31,707.75,837.9338,624.6,4566.95,118.5412,5469.25,161.2334,104.3625,502.575,11054.97,217.75,800.5,1174.475,148.35,374.45,261.3358,515.6899,347.7,290.2015,2733.05,208.8375
2016-01-06,251.8,1455.35,884.8577,430.7,2485.5,1221.45,1938.55,296.8315,322.2,1500.85,652.1,1137.2,3046.25,1752.505,597.6831,420.7,533.55,2578.2,80.55,843.05,1209.3,227.3637,208.8975,943.95,530.481,105.82,703.6,824.5671,613.075,4480.8,117.8745,5439.85,158.3667,104.625,516.1,11380.98,216.85,791.95,1190.8,145.25,365.9,256.0481,518.8518,347.85,295.5681,2735.3,208.1625
2016-01-07,245,1396.65,870.8321,409.25,2419.25,1221.26,1927.05,287.705,322.35,1473.275,637.45,1126.95,2991.8,1703.565,582.1045,412.525,528.1,2520.1,76.65,820.25,1179.45,224.3182,205.2513,925.5,521.2788,102.635,691.65,804.2671,598.725,4267.9,114.8745,5501.15,151.0667,103.575,506.625,10910.53,209.55,783.8,1185.625,140.05,343.55,238.089,504.722,344.05,278.2681,2667.7,206.1938
2016-01-08,241.4,1404.55,873.0782,413.7,2375.85,1262.9,2000.4,293.9845,323.85,1451.15,622.35,1129.7,3010.7,1724.14,585.1318,414.175,531.175,2489.65,76.9,809.85,1174.4,222.7727,207.9363,947.05,527.4797,104.115,695.1,786.0671,599,4214.75,116.2912,5616.15,153.4334,106.2375,512.875,11083.4,208.95,794.15,1198.8,144.45,353.35,241.6141,515.9369,348,283.6348,2705.2,208.425
2016-01-11,234.05,1360.85,872.3295,417.2,2360.5,1261.24,1943.4,288.9413,321.15,1459.65,610.05,1099.5,2931.5,1723.91,592.7248,407.275,529.3,2505.45,77.9,811.75,1161.55,217.6818,209.5273,936.75,523.7095,101.965,700.85,782.2337,581.3,4272.4,117.9995,5597.7,150.3334,107.4375,525.8,10844.05,204.3,782.25,1181.175,141.9,360.2,239.7563,501.2636,345.05,283.2681,2726.8,201.5438
2016-01-12,236.6,1361.45,871.3812,406.1,2344.35,1241.76,1957.5,289.6246,315.4,1470.1,611.45,1100.3,2923.25,1706.68,580.869,405.025,523.475,2467.2,75.6,819.7,1151.85,215.2273,208.9307,913.25,520.8571,101.28,692,786.1004,590.95,4266.7,120.9995,5436,147.5667,107.0625,522.725,10530.07,199.4,788.15,1163.525,139.5,355,234.1351,501.3624,346.9,283.2681,2670.05,205.8375
2016-01-13,230.2,1365.35,867.0387,406.7,2369.7,1215.57,1987.45,291.4955,308.6,1452.6,608.65,1084.45,2890.95,1706.27,577.1625,413.2,530.075,2473.7,76.7,832.75,1167.65,217.7273,209.3285,936.4,537.4509,100.37,689.15,771.1671,602.525,4291.25,120.2079,5428.8,148.8001,107.175,538.425,10474.46,200.9,796.6,1139.6,135.6,364.6,234.9449,498.4475,349.95,274.068,2684.35,204.9375
2016-01-14,227.8,1376.8,887.8524,390.6,2362.45,1215.18,1948.9,295.8879,308.75,1448.8,614.3,1087.45,2915,1698.8,572.6133,414.425,524.875,2437.55,74.7,827.25,1159.3,214.3182,210.3229,917,562.0564,100.345,684.1,756.4337,594.275,4248.25,119.3329,5485.6,148.8334,107.1375,530.825,10129.23,196.05,791.85,1139.4,134.05,354.3,227.466,507.8839,341.7,265.7013,2626.8,204.4688
