Date,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SHREECEM,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
2010-01-04,111,327,178.7884,198.78,882.5,64.6493,343.322,103.3932,329.85,166.9,338,338,1140,65.8,347.1381,92.8404,170,1732.9,162,264.8,538.96,159.4546,83.864,140.5,323.6909,102,203.275,748.0007,271.264,1565,181.8524,2555,392.3335,82.65,545.55,1913.003,227.5,153.8,371.6065,94.5,156.3034,592.6024,492.4695,142.5,116.6673,914.2,135.443
2010-01-05,111.96,349.45,179.4871,199.6,874.4,68.0207,358.5994,106.7933,328.25,167,338.55,342.5,1150,66.625,356.6224,92.4063,171,1723,165.1,265.75,541.6,161.4546,84.4606,144.7,324.9311,106.97,206.75,757.7785,283.6339,1563.5,179.4012,2401,397.3669,84.75,574.95,1987.536,230.8,152.2,371.705,95.5,162.2595,608.3702,510.8482,144.9,120.0006,970,137.6774
2010-01-06,115.8,325.625,181.1592,204,875,66.2621,353.687,104.4425,332.95,168.5,332,335.5,1186.2,65.7,367.0768,94.2916,171.4,1721,175.85,264.75,540,162.7273,85.7534,143.9,332.7443,114.03,208,736.823,289.8064,1518,176.4137,2540,404.0335,85.2,539.95,2047.162,229.7,155.505,370.1542,103.2,162.2001,628.8064,510.947,147.1,122.3339,988,139.5953
2010-01-07,121.49,340,179.562,199.29,861.5,67.9915,345.8273,102.653,328.35,165.585,346,347.5,1190.1,65.5,382.0257,92.2574,176.84,1705,175.15,265.1,535.44,163.0455,85.1899,146,320.7888,114.8,211.25,743.9785,295.629,1468,176.0307,2502.85,407.0002,85.425,544,2131.632,230.6,157.895,362.1047,104.99,161.1711,614.4201,515.2947,146.5,120.4006,987,137.4203
2010-01-08,119.4,359.5,177.1412,200.6,842.05,66.8645,346.8098,100.7008,329.75,164.1,345,355.05,1200,66.05,375.6051,90.0496,171.2,1659.7,175,265.1,530,161.6546,84.6429,143.2,312.4051,111.6,213.5,742.4452,291.1309,1459,176.0307,2535,408.3335,86.325,554,2257.841,229.4,155.58,352.5043,104.7,156.3231,620.2318,502.9434,152.5,118.6673,994,134.2567
2010-01-11,120.6,355.725,177.6903,203.8,831.5,69.1769,348.3817,102.9784,331,167.3,343.8,350,1225,65,385.5151,87.2712,174.865,1650,174.5,266.6,522.4,159.6364,85.3556,143.05,306.9607,113,214,751.5563,290.3812,1442,178.5585,2580,410.1169,87,567.35,2245.916,229.7,158.57,346.5964,105.5,158.104,619.2791,518.753,152,117.9339,999.85,131.884
2010-01-12,124.4,359.95,178.6885,209.6,847,71.3143,348.6765,102.2463,330.1,167.5,342.3,344.325,1205,63.015,392.9058,88.5612,170.8,1676.4,172,266,523.6,158.0727,85.107,143.9,310.0488,113.5,212.15,747.5563,285.5207,1454.75,179.248,2574,401.8335,85.65,547.5,2269.766,226.7,157.47,360.3815,106,155.9274,611.1808,518.259,150.49,117.0339,990,132.8726
2010-01-13,123.05,350.5,176.692,208.3,862.5,67.5057,334.0378,102.8157,321.5,167.8,338.9,339.325,1200,62,388.7254,91.2527,168.495,1640.1,164.95,262,519.74,149.3909,82.5381,139,307.1777,105.385,203.75,742.223,295.4041,1437,174.7285,2567,396.3335,84.9375,544,2161.346,219.5,155.5,366.7818,103.5,155.3338,585.9333,511.3423,148,112.6672,981,137.8059
2010-01-14,131.48,359.275,186.9741,208.96,857,64.144,336.0027,103.4664,319.2,167.4,344.45,350,1239,62.84,396.3883,94.242,171,1635,172,262.6,507.01,154,83.0353,138.5,332.2482,115.2,205.35,746.7563,289.8814,1439,176.1839,2550,400.6502,86.625,543,2202.19,218.8,157,393.0965,105.29,155.5316,614.2772,545.4318,148.45,115.6006,1039.95,142.3239
2010-01-15,128.6,359.925,186.7994,216,857.5,64.3189,334.9711,102.0348,318,167.225,341.3,347.5,1238,61.9,395.7183,92.1582,169.84,1630,171,257.75,506,152.7727,82.8861,139.4,333.5815,118.35,206.25,744.023,293.7673,1410,179.631,2539.9,410.5835,88.7625,562.9,2251.878,216.8,155.5,391.8903,104.3,154.938,619.2791,543.4556,152,115.2339,1045,142.9567
