Date,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SHREECEM,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
2014-01-01,154.55,940.25,493.5397,260.3,1915,312,744,113.9107,331,457.6,402.5,614,2545,500.46,445.1204,314.7519,334,2083,122.6,570.65,798.25,200.1637,213.6708,422.6,433.0761,101.98,366,716.767,473.8061,1770,105.3273,5413.95,193.3334,74.8875,448.725,4312.9531,177.2,568.25,1073.3166,160.85,373.5431,404.9132,911.5232,230,131.9673,1769,211.5
2014-01-02,155.7,969.95,500.5276,258.4,1918,314.1,762.8,115.4073,338,456.5,402,613.9,2525.6,498.305,444.294,312.5688,332.5,2089,121.8,571,791.6,199.3,213.704,423.5,429.5105,101.765,361.3,711.5004,471.807,1759,106.3232,5394.9,193.3001,75.075,443.85,4333.5241,176.59,572.1,1066.3749,160.5,370.9707,405.866,903.1737,229.5,132.0007,1760.5,207.2625
2014-01-03,151.5,925,482.1596,251.6,1893,314.36,725,110.2666,328,453.925,391.55,618,2520,495.315,429.7218,308.8726,326,2075.05,120,560,791,194.1818,208.8312,413,430.9678,100.51,353.55,680.0003,463.8102,1766,103.4123,5425,188.6668,76.425,435.8,4347.735,172.7,575,1065.7348,154.45,364.0944,396.815,898.1838,226,129.934,1720,205.125
2014-01-06,150.5,946,490.4951,251.51,1896,314.23,730,109.1929,328.5,459.975,393.9,628.4,2514.95,501.9,430.36,313.8092,331.5,2101.05,118.5,567,790,193.8182,208.8312,414.15,443.3821,99.87,355,674.7337,451.6652,1805,101.727,5390,185.3334,75.75,431.05,4372.5792,172.19,583,1097.3913,156.95,363.5997,391.5273,909.0529,228,133.334,1726.5,209.9625
2014-01-07,150.85,940.05,490.1457,251.5,1880,311.05,739.8,107.5335,330.5,453,393.9,628.5,2472.2,500.8,431.0227,311.5765,333.55,2071.1,118.15,563,794,190.0091,209.8257,418,436.4308,103.545,356,676.667,447.8168,1838,101.2291,5440,187.3334,74.925,427.3,4399.1128,169.29,593,1102.8069,157,363.105,390.5269,897.4674,230,134.534,1729,209.25
2014-01-08,147.1,937,489.6964,248,1894.9,312.15,725.3,105.4674,333,450.5,391.1,614.725,2495,494.3,427.9626,312.0727,332.6,2075,118.25,558,797.9,191.6364,210.4886,423.5,429.2315,102.725,354.5,681.3337,453.8143,1850,100.0801,5410,184.7668,73.9125,422.2,4367.6104,166.425,600,1089.0218,157.1,361.2252,375.9977,893.7374,226.9,133.634,1695,205.875
2014-01-09,149.45,913,487.5003,241,1914.2,309.22,736.05,103.4664,332.4,453.55,404,623,2541,512,425.3035,310.2122,331.6,2069.45,115,560,803.25,193.6,209.9583,423.3,426.6271,102.9,355.25,665.9003,454.8139,1858.8,99.429,5360,182.6668,74.0625,425.225,4450.5403,165.3,600.9,1097.2682,157.4,368.2498,375.7118,913.9193,225.15,135.1007,1700,205.125
2014-01-10,150.3,895.6,487.1509,238.79,1905.2,311.96,730.45,106.0368,327,449,401.2,614.05,2600,499.51,425.5653,322.194,331.475,2063.05,112.8,555.35,796.2,190.4273,210.6212,421.95,432.8281,103,352.05,648.5003,446.8172,1811.1,102.4548,5260,187.3001,74.625,424.175,4422.2676,163.955,607,1112.6534,158.05,366.0732,374.2351,911.375,224,134.8673,1684.7,203.6625
2014-01-13,148.5,921.7,487.8497,233,1895.25,312.21,725.35,106.8014,330,448.25,396.35,627.5,2630,498.5,422.2107,323.6576,330.05,2032.05,110.2,550,803,187.2909,214.5327,406,444.2378,102.325,347.575,636.7337,436.3215,1800,99.9652,5150,193.3334,72.6,434.125,4461.6208,161.015,610,1124.9615,156.1,368.6951,367.0419,929.2596,221,136.2673,1670.25,208.125
2014-01-14,143,891.15,491.1439,237,1888,313.99,712.05,107.078,331,453.5,400.9,629.65,2622,502,422.2925,333.0346,334.525,2036,110,545.1,817.1,191.2727,216.1238,411,452.0511,101.5,358,652.0337,441.3194,1783,100.8844,5224,195.2668,73.425,439.25,4461.0742,163.5,600,1167.7937,153.05,371.1191,366.8037,933.1873,221.25,137.9007,1660.5,210.9563
