2018-07-13,TECHM,POWERGRID
2018-07-16,DRREDDY,SUNPHARMA
2018-07-17,MARUTI,HEROMOTOCO
2018-07-18,ICICIBANK,ADANIPORTS
2018-07-19,INFY,UPL
2018-07-20,UPL,NESTLEIND
2018-07-23,HEROMOTOCO,HDFCBANK
2018-07-24,HEROMOTOCO,HDFCBANK
2018-07-25,NESTLEIND,HCLTECH
2018-07-26,HEROMOTOCO,DRREDDY
2018-07-27,BRITANNIA,SUNPHARMA
2018-07-30,DRREDDY,KOTAKBANK
2018-07-31,ASIANPAINT,KOTAKBANK
2018-08-01,HEROMOTOCO,KOTAKBANK
2018-08-02,KOTAKBANK,HEROMOTOCO
2018-08-03,LT,ADANIPORTS
2018-08-06,SBIN,HEROMOTOCO
2018-08-07,ADANIPORTS,WIPRO
2018-08-08,ITC,HDFCBANK
2018-08-09,SBIN,WIPRO
2018-08-10,ITC,SUNPHARMA
2018-08-13,SBIN,HDFC
2018-08-14,POWERGRID,NESTLEIND
2018-08-16,KOTAKBANK,SBIN
2018-08-17,TECHM,WIPRO
2018-08-20,INDUSINDBK,HEROMOTOCO
2018-08-21,BPCL,SBIN
2018-08-23,ITC,POWERGRID
2018-08-24,JSWSTEEL,HEROMOTOCO
2018-08-27,NTPC,ICICIBANK
2018-08-28,HDFC,TCS
2018-08-29,INFY,HEROMOTOCO
2018-08-30,HCLTECH,BRITANNIA
2018-08-31,GRASIM,BAJFINANCE
2018-09-03,MARUTI,ADANIPORTS
2018-09-04,UPL,INFY
2018-09-05,JSWSTEEL,NESTLEIND
2018-09-06,NESTLEIND,SBIN
2018-09-07,SBIN,APOLLOHOSP
2018-09-10,ITC,ONGC
2018-09-11,NESTLEIND,POWERGRID
2018-09-12,BAJFINANCE,JSWSTEEL
2018-09-14,HCLTECH,SBIN
2018-09-17,ADANIPORTS,LT
2018-09-18,MARUTI,SHREECEM
2018-09-19,TITAN,SBIN
2018-09-21,ASIANPAINT,NESTLEIND
2018-09-24,HCLTECH,UPL
2018-09-25,APOLLOHOSP,ICICIBANK
2018-09-26,WIPRO,NTPC
2018-09-27,INFY,APOLLOHOSP
2018-09-28,SBIN,AXISBANK
2018-10-01,ITC,JSWSTEEL
2018-10-03,AXISBANK,SBIN
2018-10-04,APOLLOHOSP,HEROMOTOCO
2018-10-05,HDFCBANK,NTPC
2018-10-08,WIPRO,SUNPHARMA
2018-10-09,HCLTECH,DIVISLAB
2018-10-10,HCLTECH,DIVISLAB
2018-10-11,KOTAKBANK,LT
2018-10-12,TECHM,LT
2018-10-15,LT,HCLTECH
2018-10-16,TECHM,POWERGRID
2018-10-17,HCLTECH,NESTLEIND
2018-10-19,RELIANCE,INDUSINDBK
2018-10-22,TECHM,DIVISLAB
2018-10-23,POWERGRID,HEROMOTOCO
2018-10-24,WIPRO,TECHM
2018-10-25,APOLLOHOSP,WIPRO
2018-10-26,POWERGRID,APOLLOHOSP
2018-10-29,CIPLA,WIPRO
