2018-01-01,BRITANNIA,HINDALCO,ASIANPAINT,HINDUNILVR,NTPC,TCS
2018-01-02,WIPRO,ADANIPORTS,CIPLA,HINDUNILVR,NESTLEIND,ONGC
2018-01-03,ICICIBANK,EICHERMOT,TECHM,TITAN,DRREDDY,ULTRACEMCO
2018-01-04,LT,SBIN,M&M,JSWSTEEL,HCLTECH,ULTRACEMCO
2018-01-05,SUNPHARMA,LT,ONGC,TATAMOTORS,BAJAJ-AUTO,HINDUNILVR
2018-01-08,ADANIPORTS,SUNPHARMA,ITC,TATAMOTORS,ICICIBANK,JSWSTEEL
2018-01-09,ITC,JSWSTEEL,LT,TECHM,MARUTI,SUNPHARMA
2018-01-10,INDUSINDBK,ULTRACEMCO,TITAN,SUNPHARMA,HCLTECH,INFY
2018-01-11,INDUSINDBK,SBIN,HCLTECH,GRASIM,SHREECEM,TATASTEEL
2018-01-12,TATASTEEL,KOTAKBANK,ITC,DIVISLAB,AXISBANK,INDUSINDBK
2018-01-15,TITAN,TECHM,ICICIBANK,TCS,BPCL,HDFCBANK
2018-01-16,ITC,BAJFINANCE,TITAN,ICICIBANK,CIPLA,KOTAKBANK
2018-01-17,ICICIBANK,HCLTECH,INDUSINDBK,TATASTEEL,KOTAKBANK,TECHM
2018-01-18,TATASTEEL,TECHM,ICICIBANK,INDUSINDBK,CIPLA,HDFC
2018-01-19,HDFC,KOTAKBANK,ICICIBANK,HDFCBANK,UPL,TATASTEEL
2018-01-22,AXISBANK,ONGC,ULTRACEMCO,RELIANCE,DRREDDY,ICICIBANK
2018-01-23,AXISBANK,ULTRACEMCO,INDUSINDBK,LT,NTPC,TATASTEEL
2018-01-24,ICICIBANK,TECHM,ONGC,AXISBANK,POWERGRID,HCLTECH
2018-01-25,ADANIPORTS,ONGC,HDFCBANK,TATASTEEL,BRITANNIA,HCLTECH
2018-01-29,HINDUNILVR,CIPLA,HDFCBANK,TECHM,GRASIM,ICICIBANK
2018-01-30,ICICIBANK,KOTAKBANK,HCLTECH,TATASTEEL,WIPRO,HDFCBANK
2018-01-31,TECHM,HCLTECH,EICHERMOT,ULTRACEMCO,APOLLOHOSP,HINDALCO
2018-02-01,TITAN,HDFCBANK,SHREECEM,JSWSTEEL,NESTLEIND,LT
2018-02-02,HDFCBANK,APOLLOHOSP,LT,BAJAJ-AUTO,BRITANNIA,M&M
2018-02-05,CIPLA,BAJAJFINSV,BPCL,DRREDDY,TITAN,RELIANCE
2018-02-06,BPCL,RELIANCE,BAJAJ-AUTO,GRASIM,WIPRO,DRREDDY
2018-02-07,BPCL,MARUTI,BRITANNIA,UPL,TATASTEEL,BAJFINANCE
2018-02-08,CIPLA,TCS,BHARTIARTL,M&M,HINDUNILVR,ITC
2018-02-09,SUNPHARMA,JSWSTEEL,ULTRACEMCO,DRREDDY,HINDALCO,NTPC
2018-02-12,HINDUNILVR,BHARTIARTL,JSWSTEEL,TATAMOTORS,DRREDDY,M&M
2018-02-14,BRITANNIA,ULTRACEMCO,TITAN,JSWSTEEL,SHREECEM,RELIANCE
2018-02-15,BAJAJFINSV,HINDUNILVR,HDFCBANK,EICHERMOT,M&M,ADANIPORTS
2018-02-16,ADANIPORTS,TECHM,SBIN,SHREECEM,TCS,HINDUNILVR
2018-02-19,TATAMOTORS,EICHERMOT,ICICIBANK,JSWSTEEL,HCLTECH,KOTAKBANK
2018-02-20,NTPC,SUNPHARMA,TATAMOTORS,BAJAJFINSV,SHREECEM,HDFCBANK
2018-02-21,HINDALCO,TITAN,BRITANNIA,TECHM,TCS,RELIANCE
2018-02-22,WIPRO,HCLTECH,GRASIM,SUNPHARMA,SHREECEM,NTPC
2018-02-23,HINDUNILVR,TECHM,HCLTECH,SUNPHARMA,HINDALCO,WIPRO
2018-02-26,BPCL,GRASIM,DIVISLAB,BAJFINANCE,SBIN,JSWSTEEL
2018-02-27,KOTAKBANK,BAJFINANCE,HINDUNILVR,INDUSINDBK,SBIN,M&M
2018-02-28,JSWSTEEL,ULTRACEMCO,WIPRO,CIPLA,NESTLEIND,HCLTECH
2018-03-01,SUNPHARMA,JSWSTEEL,CIPLA,TATASTEEL,HINDUNILVR,NTPC
2018-03-05,TITAN,EICHERMOT,WIPRO,TATASTEEL,INFY,NTPC
2018-03-06,TATAMOTORS,TATASTEEL,TECHM,BAJFINANCE,BRITANNIA,SUNPHARMA
2018-03-07,ASIANPAINT,TECHM,HCLTECH,WIPRO,KOTAKBANK,CIPLA
2018-03-08,BAJFINANCE,TATASTEEL,GRASIM,SBIN,INFY,RELIANCE
2018-03-09,TCS,ULTRACEMCO,BAJFINANCE,NTPC,NESTLEIND,ADANIPORTS
2018-03-12,BAJFINANCE,DIVISLAB,RELIANCE,ULTRACEMCO,POWERGRID,INDUSINDBK
2018-03-13,BPCL,RELIANCE,JSWSTEEL,TITAN,SHREECEM,WIPRO
2018-03-14,DRREDDY,BPCL,NTPC,HCLTECH,DIVISLAB,EICHERMOT
2018-03-15,DIVISLAB,BAJAJFINSV,WIPRO,BHARTIARTL,ASIANPAINT,NTPC
2018-03-16,TECHM,MARUTI,DIVISLAB,HINDALCO,UPL,TITAN
2018-03-19,BAJAJFINSV,SBIN,LT,HDFC,WIPRO,CIPLA
2018-03-20,SBIN,TECHM,TATACONSUM,TCS,TATASTEEL,NTPC
2018-03-21,CIPLA,NESTLEIND,BAJAJFINSV,HDFCBANK,HDFC,UPL
2018-03-22,ONGC,LT,SUNPHARMA,BHARTIARTL,HDFC,TCS
2018-03-23,DIVISLAB,TCS,HINDALCO,BHARTIARTL,ONGC,NTPC
2018-03-26,TATACONSUM,TITAN,SBIN,NTPC,TATASTEEL,ONGC
2018-03-27,ITC,MARUTI,HDFC,DIVISLAB,POWERGRID,TITAN
2018-03-28,TATACONSUM,BRITANNIA,DIVISLAB,ULTRACEMCO,TATASTEEL,BAJAJFINSV
2018-04-02,BRITANNIA,ULTRACEMCO,RELIANCE,WIPRO,HDFC,MARUTI
2018-04-03,HINDALCO,KOTAKBANK,TITAN,ULTRACEMCO,ADANIPORTS,BAJAJFINSV
2018-04-04,HCLTECH,M&M,RELIANCE,SUNPHARMA,HEROMOTOCO,BAJAJFINSV
2018-04-05,HCLTECH,ITC,EICHERMOT,M&M,BHARTIARTL,HDFC
2018-04-06,EICHERMOT,BAJFINANCE,ONGC,TATACONSUM,HINDUNILVR,BAJAJFINSV
2018-04-09,TITAN,BHARTIARTL,CIPLA,NTPC,TATASTEEL,BAJAJFINSV
2018-04-10,JSWSTEEL,BAJFINANCE,BAJAJFINSV,NTPC,NESTLEIND,BHARTIARTL
2018-04-11,JSWSTEEL,WIPRO,ONGC,TATAMOTORS,BRITANNIA,NTPC
2018-04-12,TECHM,TATACONSUM,TITAN,ONGC,HEROMOTOCO,NTPC
2018-04-13,M&M,BRITANNIA,WIPRO,NTPC,ITC,TATASTEEL
2018-04-16,DIVISLAB,KOTAKBANK,BRITANNIA,HINDUNILVR,INDUSINDBK,EICHERMOT
2018-04-17,SBIN,EICHERMOT,POWERGRID,HINDUNILVR,ITC,KOTAKBANK
2018-04-18,HINDUNILVR,BRITANNIA,TITAN,BAJAJ-AUTO,BHARTIARTL,ICICIBANK
2018-04-19,UPL,ONGC,INFY,NESTLEIND,GRASIM,HINDUNILVR
2018-04-20,INDUSINDBK,POWERGRID,SBIN,ONGC,BAJFINANCE,TATASTEEL
2018-04-23,EICHERMOT,WIPRO,TECHM,HEROMOTOCO,BAJAJFINSV,TATASTEEL
2018-04-24,TITAN,CIPLA,KOTAKBANK,UPL,HEROMOTOCO,HCLTECH
2018-04-25,BAJAJFINSV,RELIANCE,ADANIPORTS,BPCL,EICHERMOT,NTPC
2018-04-26,UPL,BPCL,INDUSINDBK,TATASTEEL,HINDALCO,M&M
2018-04-27,TATAMOTORS,HINDUNILVR,TATASTEEL,RELIANCE,HEROMOTOCO,M&M
2018-04-30,ADANIPORTS,UPL,BHARTIARTL,SUNPHARMA,TATASTEEL,BAJAJ-AUTO
2018-05-02,ADANIPORTS,LT,BAJAJ-AUTO,TATASTEEL,ICICIBANK,KOTAKBANK
2018-05-03,CIPLA,INFY,RELIANCE,TATASTEEL,BAJAJFINSV,KOTAKBANK
2018-05-04,AXISBANK,ONGC,KOTAKBANK,BPCL,INDUSINDBK,ADANIPORTS
2018-05-07,ADANIPORTS,JSWSTEEL,HINDUNILVR,TECHM,HEROMOTOCO,NTPC
2018-05-08,ADANIPORTS,ONGC,KOTAKBANK,TITAN,BAJAJ-AUTO,M&M
2018-05-09,AXISBANK,NTPC,BPCL,TITAN,ASIANPAINT,ONGC
2018-05-10,ONGC,HINDUNILVR,TITAN,HEROMOTOCO,HDFC,ASIANPAINT
2018-05-11,BAJFINANCE,BAJAJ-AUTO,TITAN,DRREDDY,HINDALCO,ASIANPAINT
2018-05-14,KOTAKBANK,HDFC,BAJAJ-AUTO,BRITANNIA,TECHM,ASIANPAINT
2018-05-15,ASIANPAINT,KOTAKBANK,APOLLOHOSP,BRITANNIA,NESTLEIND,HDFC
2018-05-16,POWERGRID,TCS,TATACONSUM,ASIANPAINT,HCLTECH,TATAMOTORS
2018-05-17,TECHM,DIVISLAB,JSWSTEEL,HDFC,NESTLEIND,TATACONSUM
2018-05-18,BRITANNIA,TATAMOTORS,BAJFINANCE,BAJAJ-AUTO,GRASIM,TECHM
2018-05-21,SHREECEM,BAJFINANCE,KOTAKBANK,BAJAJFINSV,BPCL,HDFC
2018-05-22,DRREDDY,POWERGRID,TATACONSUM,BRITANNIA,ASIANPAINT,ULTRACEMCO
2018-05-23,SHREECEM,JSWSTEEL,TATACONSUM,GRASIM,HINDALCO,BAJAJFINSV
2018-05-24,HCLTECH,ULTRACEMCO,LT,BHARTIARTL,KOTAKBANK,SHREECEM
2018-05-25,CIPLA,SUNPHARMA,TECHM,INDUSINDBK,INFY,BAJAJFINSV
2018-05-28,HINDUNILVR,SHREECEM,M&M,BRITANNIA,WIPRO,BAJFINANCE
2018-05-29,SHREECEM,UPL,SBIN,BAJFINANCE,CIPLA,NTPC
2018-05-30,SBIN,BPCL,HCLTECH,TECHM,SHREECEM,M&M
2018-05-31,M&M,TATACONSUM,BAJFINANCE,TCS,INFY,BAJAJFINSV
2018-06-01,NTPC,SHREECEM,TCS,ICICIBANK,INFY,BAJFINANCE
2018-06-04,HINDUNILVR,BHARTIARTL,HINDALCO,KOTAKBANK,INDUSINDBK,HDFCBANK
2018-06-05,TECHM,TATACONSUM,HCLTECH,EICHERMOT,GRASIM,M&M
2018-06-06,EICHERMOT,BHARTIARTL,WIPRO,HCLTECH,ASIANPAINT,BAJAJFINSV
2018-06-07,LT,HINDUNILVR,M&M,KOTAKBANK,WIPRO,BAJAJFINSV
2018-06-08,TECHM,JSWSTEEL,M&M,TATACONSUM,POWERGRID,TATAMOTORS
2018-06-11,ADANIPORTS,TATACONSUM,RELIANCE,HCLTECH,NESTLEIND,SUNPHARMA
2018-06-12,TATACONSUM,BAJFINANCE,SUNPHARMA,DRREDDY,TATAMOTORS,BAJAJFINSV
2018-06-13,BAJAJ-AUTO,WIPRO,TATASTEEL,DRREDDY,BPCL,NTPC
2018-06-14,SUNPHARMA,BRITANNIA,HCLTECH,SHREECEM,HEROMOTOCO,DRREDDY
2018-06-15,ULTRACEMCO,WIPRO,TCS,DRREDDY,AXISBANK,CIPLA
2018-06-18,DRREDDY,HCLTECH,TATASTEEL,APOLLOHOSP,ITC,CIPLA
