2016-03-28,HINDALCO,HEROMOTOCO,NTPC,JSWSTEEL,HDFCBANK,HINDUNILVR
2016-03-29,BPCL,INDUSINDBK,HDFCBANK,INFY,BAJAJFINSV,HDFC
2016-03-30,NTPC,TATASTEEL,WIPRO,HCLTECH,INFY,HDFC
2016-03-31,POWERGRID,KOTAKBANK,TATASTEEL,HDFC,JSWSTEEL,HCLTECH
2016-04-01,JSWSTEEL,GRASIM,INFY,RELIANCE,HINDALCO,AXISBANK
2016-04-04,INFY,HCLTECH,HDFC,SBIN,TATAMOTORS,TITAN
2016-04-05,SBIN,UPL,KOTAKBANK,INFY,HINDALCO,JSWSTEEL
2016-04-06,SBIN,APOLLOHOSP,BAJFINANCE,HDFC,KOTAKBANK,WIPRO
2016-04-07,TITAN,BAJAJ-AUTO,TCS,HDFC,HINDALCO,KOTAKBANK
2016-04-08,KOTAKBANK,WIPRO,SBIN,BAJAJ-AUTO,TATASTEEL,SUNPHARMA
2016-04-11,BHARTIARTL,APOLLOHOSP,TATASTEEL,WIPRO,SBIN,INDUSINDBK
2016-04-12,INFY,SBIN,TATAMOTORS,UPL,APOLLOHOSP,NTPC
2016-04-13,NTPC,HINDALCO,APOLLOHOSP,BRITANNIA,ASIANPAINT,HDFC
2016-04-18,TATASTEEL,DIVISLAB,ONGC,NTPC,BAJFINANCE,TITAN
2016-04-20,NTPC,POWERGRID,ITC,HDFC,TATACONSUM,BAJAJ-AUTO
2016-04-21,WIPRO,BAJAJ-AUTO,NTPC,TATASTEEL,BRITANNIA,BHARTIARTL
2016-04-22,BPCL,HCLTECH,KOTAKBANK,SUNPHARMA,HDFC,HDFCBANK
2016-04-25,HDFCBANK,HCLTECH,TATASTEEL,KOTAKBANK,HDFC,INFY
2016-04-26,NESTLEIND,HCLTECH,TATACONSUM,ICICIBANK,MARUTI,HDFCBANK
2016-04-27,AXISBANK,ICICIBANK,WIPRO,DRREDDY,ULTRACEMCO,HDFCBANK
2016-04-28,BAJAJ-AUTO,HCLTECH,INFY,RELIANCE,INDUSINDBK,BAJAJFINSV
2016-04-29,JSWSTEEL,TECHM,SBIN,TITAN,BAJAJFINSV,HINDALCO
2016-05-02,M&M,SBIN,WIPRO,ICICIBANK,APOLLOHOSP,HINDUNILVR
2016-05-03,SUNPHARMA,TECHM,NESTLEIND,BPCL,WIPRO,BAJAJ-AUTO
2016-05-04,AXISBANK,HINDUNILVR,TATACONSUM,UPL,BAJFINANCE,NTPC
2016-05-05,NTPC,AXISBANK,TITAN,TATAMOTORS,HINDUNILVR,WIPRO
2016-05-06,M&M,TITAN,BHARTIARTL,INFY,TECHM,TATACONSUM
2016-05-09,TITAN,HCLTECH,WIPRO,HDFC,TATAMOTORS,TATASTEEL
2016-05-10,HCLTECH,HINDUNILVR,JSWSTEEL,TITAN,SUNPHARMA,POWERGRID
2016-05-11,HINDUNILVR,HCLTECH,ITC,MARUTI,BAJAJ-AUTO,TATASTEEL
2016-05-12,HCLTECH,TECHM,WIPRO,SUNPHARMA,RELIANCE,HDFCBANK
2016-05-13,HDFCBANK,TATAMOTORS,TCS,HCLTECH,NESTLEIND,ITC
2016-05-16,INFY,RELIANCE,NTPC,HDFC,HDFCBANK,TECHM
2016-05-17,NTPC,BAJFINANCE,WIPRO,HINDUNILVR,SUNPHARMA,TATACONSUM
2016-05-18,HINDUNILVR,POWERGRID,TECHM,EICHERMOT,INFY,WIPRO
2016-05-19,TCS,ITC,HINDUNILVR,ULTRACEMCO,SUNPHARMA,HDFC
2016-05-20,NTPC,MARUTI,TATASTEEL,ULTRACEMCO,TECHM,EICHERMOT
2016-05-23,BRITANNIA,HINDUNILVR,WIPRO,SUNPHARMA,NTPC,TITAN
2016-05-24,AXISBANK,TATAMOTORS,HINDUNILVR,EICHERMOT,RELIANCE,M&M
2016-05-25,TCS,TITAN,BAJAJFINSV,DRREDDY,NTPC,WIPRO
2016-05-26,SUNPHARMA,TITAN,NTPC,NESTLEIND,TATAMOTORS,WIPRO
2016-05-27,APOLLOHOSP,WIPRO,TCS,BAJAJ-AUTO,ITC,TECHM
2016-05-30,INFY,INDUSINDBK,MARUTI,LT,ASIANPAINT,BRITANNIA
2016-05-31,SUNPHARMA,NTPC,GRASIM,INFY,MARUTI,INDUSINDBK
2016-06-01,DIVISLAB,BAJAJFINSV,WIPRO,EICHERMOT,TITAN,LT
2016-06-02,BAJAJ-AUTO,HINDALCO,TATASTEEL,ASIANPAINT,HDFCBANK,TECHM
2016-06-03,BPCL,BAJAJ-AUTO,CIPLA,WIPRO,ADANIPORTS,INDUSINDBK
2016-06-06,ADANIPORTS,HINDALCO,TATAMOTORS,ASIANPAINT,TATASTEEL,BPCL
2016-06-07,NTPC,ADANIPORTS,DRREDDY,CIPLA,TCS,TATASTEEL
2016-06-08,TATASTEEL,ASIANPAINT,WIPRO,KOTAKBANK,MARUTI,BHARTIARTL
2016-06-09,SBIN,TATAMOTORS,INDUSINDBK,HDFCBANK,MARUTI,EICHERMOT
2016-06-10,ICICIBANK,BPCL,ITC,UPL,HINDALCO,HDFCBANK
2016-06-13,JSWSTEEL,ICICIBANK,WIPRO,TCS,BPCL,M&M
2016-06-14,TECHM,WIPRO,JSWSTEEL,HDFC,ITC,NTPC
2016-06-15,TATASTEEL,DIVISLAB,ASIANPAINT,TECHM,EICHERMOT,LT
2016-06-16,BAJAJ-AUTO,TATASTEEL,MARUTI,ASIANPAINT,HDFCBANK,TECHM
2016-06-17,EICHERMOT,TECHM,BRITANNIA,RELIANCE,TATASTEEL,BAJAJ-AUTO
2016-06-20,TCS,NESTLEIND,HDFC,AXISBANK,ADANIPORTS,SHREECEM
2016-06-21,NTPC,HDFC,BPCL,BRITANNIA,KOTAKBANK,SUNPHARMA
2016-06-22,HDFC,INFY,TATACONSUM,EICHERMOT,TCS,BAJAJFINSV
