2016-01-01,APOLLOHOSP,SUNPHARMA,GRASIM,INDUSINDBK
2016-01-04,INFY,NESTLEIND,HDFCBANK,SBIN
2016-01-05,HDFC,POWERGRID,INFY,TCS
2016-01-06,POWERGRID,APOLLOHOSP,HINDALCO,TCS
2016-01-07,JSWSTEEL,ONGC,SBIN,TCS
2016-01-08,MARUTI,CIPLA,HINDALCO,HDFC
2016-01-11,NESTLEIND,MARUTI,TATASTEEL,BAJFINANCE
2016-01-12,M&M,INFY,HDFC,HINDALCO
2016-01-13,WIPRO,TATASTEEL,APOLLOHOSP,BRITANNIA
2016-01-14,POWERGRID,HINDALCO,RELIANCE,MARUTI
2016-01-15,POWERGRID,INFY,HINDALCO,KOTAKBANK
2016-01-18,AXISBANK,TCS,SBIN,HINDUNILVR
2016-01-19,TCS,LT,DIVISLAB,CIPLA
2016-01-20,BAJAJ-AUTO,GRASIM,M&M,MARUTI
2016-01-21,ULTRACEMCO,MARUTI,WIPRO,GRASIM
2016-01-22,MARUTI,TCS,SBIN,M&M
2016-01-25,HDFC,INFY,BRITANNIA,WIPRO
2016-01-27,GRASIM,BRITANNIA,CIPLA,INFY
2016-01-28,TITAN,HDFCBANK,JSWSTEEL,HDFC
2016-01-29,JSWSTEEL,CIPLA,HDFCBANK,TCS
2016-02-01,M&M,DRREDDY,JSWSTEEL,INFY
2016-02-02,HDFCBANK,BHARTIARTL,BAJAJ-AUTO,DIVISLAB
2016-02-03,UPL,TITAN,POWERGRID,M&M
2016-02-04,UPL,MARUTI,INFY,HINDALCO
2016-02-05,MARUTI,NESTLEIND,HDFC,TATASTEEL
2016-02-08,TATASTEEL,TITAN,DIVISLAB,INDUSINDBK
2016-02-09,TATASTEEL,M&M,TITAN,UPL
2016-02-10,TITAN,POWERGRID,MARUTI,HDFCBANK
2016-02-11,EICHERMOT,APOLLOHOSP,POWERGRID,TITAN
2016-02-12,NESTLEIND,ICICIBANK,BAJAJ-AUTO,HDFC
2016-02-15,ICICIBANK,HINDUNILVR,RELIANCE,BHARTIARTL
2016-02-16,BHARTIARTL,BAJFINANCE,ASIANPAINT,DIVISLAB
2016-02-17,BHARTIARTL,BAJFINANCE,HDFC,BPCL
2016-02-18,ADANIPORTS,BAJFINANCE,HDFC,TCS
2016-02-19,SBIN,DIVISLAB,HDFCBANK,EICHERMOT
2016-02-22,BHARTIARTL,HDFCBANK,BAJFINANCE,MARUTI
2016-02-23,BAJFINANCE,BHARTIARTL,HDFC,SBIN
2016-02-24,BAJFINANCE,BPCL,INFY,DIVISLAB
2016-02-25,BAJFINANCE,INFY,ITC,HDFCBANK
2016-02-26,BAJFINANCE,DIVISLAB,TITAN,INFY
2016-02-29,BAJFINANCE,BAJAJFINSV,DIVISLAB,KOTAKBANK
2016-03-01,TITAN,M&M,BAJFINANCE,KOTAKBANK
2016-03-02,SBIN,ICICIBANK,NTPC,ADANIPORTS
2016-03-03,ICICIBANK,APOLLOHOSP,SHREECEM,WIPRO
2016-03-04,SHREECEM,ICICIBANK,HINDALCO,HDFC
2016-03-08,SHREECEM,HCLTECH,ICICIBANK,INDUSINDBK
2016-03-09,SHREECEM,ICICIBANK,INDUSINDBK,TATAMOTORS
2016-03-10,INDUSINDBK,ASIANPAINT,HDFC,TITAN
2016-03-11,M&M,SUNPHARMA,ITC,ICICIBANK
2016-03-14,SBIN,BPCL,TATASTEEL,TCS
2016-03-15,HDFCBANK,HDFC,BRITANNIA,TATASTEEL
2016-03-16,TATASTEEL,HDFCBANK,TECHM,KOTAKBANK
2016-03-17,NESTLEIND,TATASTEEL,BAJFINANCE,SBIN
2016-03-18,NESTLEIND,TITAN,KOTAKBANK,DRREDDY
2016-03-21,HINDALCO,POWERGRID,NESTLEIND,DRREDDY
2016-03-22,HDFCBANK,POWERGRID,HDFC,BAJAJ-AUTO
2016-03-23,WIPRO,POWERGRID,APOLLOHOSP,ADANIPORTS
2016-03-28,HINDALCO,HEROMOTOCO,NTPC,JSWSTEEL
2016-03-29,BPCL,INDUSINDBK,HDFCBANK,INFY
2016-03-30,NTPC,TATASTEEL,WIPRO,HCLTECH
2016-03-31,POWERGRID,KOTAKBANK,TATASTEEL,HDFC
2016-04-01,JSWSTEEL,GRASIM,INFY,RELIANCE
2016-04-04,INFY,HCLTECH,HDFC,SBIN
2016-04-05,SBIN,UPL,KOTAKBANK,INFY
2016-04-06,SBIN,APOLLOHOSP,BAJFINANCE,HDFC
2016-04-07,TITAN,BAJAJ-AUTO,TCS,HDFC
2016-04-08,KOTAKBANK,WIPRO,SBIN,BAJAJ-AUTO
2016-04-11,BHARTIARTL,APOLLOHOSP,TATASTEEL,WIPRO
2016-04-12,INFY,SBIN,TATAMOTORS,UPL
2016-04-13,NTPC,HINDALCO,APOLLOHOSP,BRITANNIA
2016-04-18,TATASTEEL,DIVISLAB,ONGC,NTPC
2016-04-20,NTPC,POWERGRID,ITC,HDFC
2016-04-21,WIPRO,BAJAJ-AUTO,NTPC,TATASTEEL
2016-04-22,BPCL,HCLTECH,KOTAKBANK,SUNPHARMA
2016-04-25,HDFCBANK,HCLTECH,TATASTEEL,KOTAKBANK
2016-04-26,NESTLEIND,HCLTECH,TATACONSUM,ICICIBANK
2016-04-27,AXISBANK,ICICIBANK,WIPRO,DRREDDY
2016-04-28,BAJAJ-AUTO,HCLTECH,INFY,RELIANCE
2016-04-29,JSWSTEEL,TECHM,SBIN,TITAN
2016-05-02,M&M,SBIN,WIPRO,ICICIBANK
2016-05-03,SUNPHARMA,TECHM,NESTLEIND,BPCL
2016-05-04,AXISBANK,HINDUNILVR,TATACONSUM,UPL
2016-05-05,NTPC,AXISBANK,TITAN,TATAMOTORS
2016-05-06,M&M,TITAN,BHARTIARTL,INFY
2016-05-09,TITAN,HCLTECH,WIPRO,HDFC
2016-05-10,HCLTECH,HINDUNILVR,JSWSTEEL,TITAN
2016-05-11,HINDUNILVR,HCLTECH,ITC,MARUTI
2016-05-12,HCLTECH,TECHM,WIPRO,SUNPHARMA
2016-05-13,HDFCBANK,TATAMOTORS,TCS,HCLTECH
2016-05-16,INFY,RELIANCE,NTPC,HDFC
2016-05-17,NTPC,BAJFINANCE,WIPRO,HINDUNILVR
2016-05-18,HINDUNILVR,POWERGRID,TECHM,EICHERMOT
2016-05-19,TCS,ITC,HINDUNILVR,ULTRACEMCO
2016-05-20,NTPC,MARUTI,TATASTEEL,ULTRACEMCO
2016-05-23,BRITANNIA,HINDUNILVR,WIPRO,SUNPHARMA
2016-05-24,AXISBANK,TATAMOTORS,HINDUNILVR,EICHERMOT
2016-05-25,TCS,TITAN,BAJAJFINSV,DRREDDY
2016-05-26,SUNPHARMA,TITAN,NTPC,NESTLEIND
2016-05-27,APOLLOHOSP,WIPRO,TCS,BAJAJ-AUTO
2016-05-30,INFY,INDUSINDBK,MARUTI,LT
2016-05-31,SUNPHARMA,NTPC,GRASIM,INFY
2016-06-01,DIVISLAB,BAJAJFINSV,WIPRO,EICHERMOT
2016-06-02,BAJAJ-AUTO,HINDALCO,TATASTEEL,ASIANPAINT
2016-06-03,BPCL,BAJAJ-AUTO,CIPLA,WIPRO
2016-06-06,ADANIPORTS,HINDALCO,TATAMOTORS,ASIANPAINT
2016-06-07,NTPC,ADANIPORTS,DRREDDY,CIPLA
2016-06-08,TATASTEEL,ASIANPAINT,WIPRO,KOTAKBANK
2016-06-09,SBIN,TATAMOTORS,INDUSINDBK,HDFCBANK
2016-06-10,ICICIBANK,BPCL,ITC,UPL
2016-06-13,JSWSTEEL,ICICIBANK,WIPRO,TCS
