2014-04-25,ASIANPAINT,SBIN,DRREDDY,HCLTECH
2014-04-28,DIVISLAB,APOLLOHOSP,INFY,BAJAJFINSV
2014-04-29,MARUTI,LT,ULTRACEMCO,POWERGRID
2014-04-30,ICICIBANK,MARUTI,TCS,EICHERMOT
2014-05-02,BAJAJFINSV,HINDALCO,EICHERMOT,TITAN
2014-05-05,DIVISLAB,HEROMOTOCO,HCLTECH,ULTRACEMCO
2014-05-06,HEROMOTOCO,DIVISLAB,EICHERMOT,ULTRACEMCO
2014-05-07,TITAN,EICHERMOT,BHARTIARTL,ULTRACEMCO
2014-05-08,DIVISLAB,TATACONSUM,EICHERMOT,ULTRACEMCO
2014-05-09,POWERGRID,M&M,APOLLOHOSP,EICHERMOT
2014-05-12,LT,NTPC,SBIN,EICHERMOT
2014-05-13,UPL,POWERGRID,ITC,EICHERMOT
2014-05-14,BPCL,TECHM,TITAN,ASIANPAINT
2014-05-15,TITAN,GRASIM,ASIANPAINT,SUNPHARMA
2014-05-16,HINDALCO,ICICIBANK,HINDUNILVR,LT
2014-05-19,ULTRACEMCO,HDFCBANK,HCLTECH,M&M
2014-05-20,ASIANPAINT,ITC,NESTLEIND,ONGC
2014-05-21,TITAN,ULTRACEMCO,APOLLOHOSP,BAJAJFINSV
2014-05-22,MARUTI,SBIN,TITAN,NESTLEIND
2014-05-23,SBIN,TITAN,HINDUNILVR,NESTLEIND
2014-05-26,POWERGRID,SHREECEM,HINDUNILVR,TATACONSUM
2014-05-27,GRASIM,SHREECEM,TATACONSUM,ULTRACEMCO
2014-05-28,BRITANNIA,GRASIM,TITAN,BAJAJFINSV
2014-05-29,GRASIM,UPL,BHARTIARTL,ULTRACEMCO
2014-05-30,M&M,INFY,LT,BAJAJFINSV
2014-06-02,HDFC,JSWSTEEL,NESTLEIND,LT
2014-06-03,NESTLEIND,BPCL,WIPRO,SBIN
2014-06-04,TATACONSUM,HINDUNILVR,NESTLEIND,TITAN
2014-06-05,TITAN,TATAMOTORS,NESTLEIND,MARUTI
2014-06-06,TCS,RELIANCE,MARUTI,SUNPHARMA
2014-06-09,TCS,TATAMOTORS,BAJAJFINSV,GRASIM
2014-06-10,ULTRACEMCO,BAJAJ-AUTO,SBIN,MARUTI
2014-06-11,ADANIPORTS,TATAMOTORS,TCS,SBIN
2014-06-12,SBIN,INDUSINDBK,BRITANNIA,TATASTEEL
2014-06-13,ULTRACEMCO,ITC,INFY,BAJAJFINSV
2014-06-16,ULTRACEMCO,HDFC,INFY,BAJAJFINSV
2014-06-17,TECHM,NTPC,HCLTECH,TATACONSUM
2014-06-18,KOTAKBANK,TATACONSUM,APOLLOHOSP,CIPLA
2014-06-19,TITAN,BAJAJFINSV,EICHERMOT,ICICIBANK
2014-06-20,SHREECEM,EICHERMOT,ULTRACEMCO,TITAN
2014-06-23,TCS,TITAN,MARUTI,DIVISLAB
2014-06-24,POWERGRID,ADANIPORTS,ONGC,ICICIBANK
2014-06-25,TITAN,LT,ADANIPORTS,BAJAJFINSV
2014-06-26,LT,M&M,BAJAJFINSV,EICHERMOT
2014-06-27,BAJAJFINSV,ULTRACEMCO,DIVISLAB,SUNPHARMA
2014-06-30,ONGC,POWERGRID,AXISBANK,LT
2014-07-01,ONGC,SBIN,JSWSTEEL,HINDUNILVR
2014-07-02,GRASIM,TATAMOTORS,BHARTIARTL,SBIN
2014-07-03,JSWSTEEL,TATAMOTORS,ULTRACEMCO,SBIN
2014-07-04,BPCL,EICHERMOT,SBIN,TATAMOTORS
2014-07-07,SBIN,LT,TATAMOTORS,ONGC
2014-07-08,KOTAKBANK,TATAMOTORS,BAJFINANCE,ONGC
2014-07-09,HCLTECH,BAJAJFINSV,SBIN,ITC
2014-07-10,LT,SBIN,TITAN,TATAMOTORS
2014-07-11,INDUSINDBK,KOTAKBANK,ADANIPORTS,HCLTECH
2014-07-14,BHARTIARTL,BAJFINANCE,TATASTEEL,BAJAJFINSV
2014-07-15,MARUTI,AXISBANK,TATAMOTORS,HINDUNILVR
2014-07-16,ICICIBANK,TATAMOTORS,BAJAJFINSV,AXISBANK
2014-07-17,AXISBANK,EICHERMOT,SBIN,BAJAJFINSV
2014-07-18,WIPRO,HCLTECH,TATASTEEL,BAJAJFINSV
2014-07-21,JSWSTEEL,ASIANPAINT,RELIANCE,SBIN
2014-07-22,HINDALCO,TATAMOTORS,LT,BHARTIARTL
2014-07-23,MARUTI,BHARTIARTL,BAJAJFINSV,SBIN
2014-07-24,ONGC,LT,SBIN,BHARTIARTL
