2018-01-01,ASIANPAINT,HINDUNILVR,MARUTI,TCS
2018-01-02,CIPLA,HINDUNILVR,TCS,ONGC
2018-01-03,TECHM,TITAN,WIPRO,ULTRACEMCO
2018-01-04,M&M,JSWSTEEL,HINDUNILVR,ULTRACEMCO
2018-01-05,ONGC,TATAMOTORS,EICHERMOT,HINDUNILVR
2018-01-08,ITC,TATAMOTORS,SBIN,JSWSTEEL
2018-01-09,LT,TECHM,SBIN,SUNPHARMA
2018-01-10,TITAN,SUNPHARMA,SBIN,INFY
2018-01-11,HCLTECH,GRASIM,TECHM,TATASTEEL
2018-01-12,ITC,DIVISLAB,TECHM,INDUSINDBK
2018-01-15,ICICIBANK,TCS,JSWSTEEL,HDFCBANK
2018-01-16,TITAN,ICICIBANK,HDFCBANK,KOTAKBANK
2018-01-17,INDUSINDBK,TATASTEEL,WIPRO,TECHM
2018-01-18,ICICIBANK,INDUSINDBK,HEROMOTOCO,HDFC
2018-01-19,ICICIBANK,HDFCBANK,INFY,TATASTEEL
2018-01-22,ULTRACEMCO,RELIANCE,TATASTEEL,ICICIBANK
2018-01-23,INDUSINDBK,LT,TECHM,TATASTEEL
2018-01-24,ONGC,AXISBANK,INDUSINDBK,HCLTECH
2018-01-25,HDFCBANK,TATASTEEL,TECHM,HCLTECH
2018-01-29,HDFCBANK,TECHM,HCLTECH,ICICIBANK
2018-01-30,HCLTECH,TATASTEEL,LT,HDFCBANK
2018-01-31,EICHERMOT,ULTRACEMCO,LT,HINDALCO
2018-02-01,SHREECEM,JSWSTEEL,TECHM,LT
2018-02-02,LT,BAJAJ-AUTO,KOTAKBANK,M&M
2018-02-05,BPCL,DRREDDY,SBIN,RELIANCE
2018-02-06,BAJAJ-AUTO,GRASIM,BAJAJFINSV,DRREDDY
2018-02-07,BRITANNIA,UPL,NTPC,BAJFINANCE
2018-02-08,BHARTIARTL,M&M,BAJAJ-AUTO,ITC
2018-02-09,ULTRACEMCO,DRREDDY,CIPLA,NTPC
2018-02-12,JSWSTEEL,TATAMOTORS,BRITANNIA,M&M
2018-02-14,TITAN,JSWSTEEL,BAJFINANCE,RELIANCE
2018-02-15,HDFCBANK,EICHERMOT,TECHM,ADANIPORTS
2018-02-16,SBIN,SHREECEM,INDUSINDBK,HINDUNILVR
2018-02-19,ICICIBANK,JSWSTEEL,BAJFINANCE,KOTAKBANK
2018-02-20,TATAMOTORS,BAJAJFINSV,BAJFINANCE,HDFCBANK
2018-02-21,BRITANNIA,TECHM,HINDUNILVR,RELIANCE
2018-02-22,GRASIM,SUNPHARMA,TATASTEEL,NTPC
2018-02-23,HCLTECH,SUNPHARMA,BRITANNIA,WIPRO
2018-02-26,DIVISLAB,BAJFINANCE,RELIANCE,JSWSTEEL
2018-02-27,HINDUNILVR,INDUSINDBK,HINDALCO,M&M
2018-02-28,WIPRO,CIPLA,SBIN,HCLTECH
2018-03-01,CIPLA,TATASTEEL,BAJAJ-AUTO,NTPC
2018-03-05,WIPRO,TATASTEEL,SBIN,NTPC
2018-03-06,TECHM,BAJFINANCE,BAJAJFINSV,SUNPHARMA
2018-03-07,HCLTECH,WIPRO,TATASTEEL,CIPLA
2018-03-08,GRASIM,SBIN,TATACONSUM,RELIANCE
2018-03-09,BAJFINANCE,NTPC,BPCL,ADANIPORTS
2018-03-12,RELIANCE,ULTRACEMCO,M&M,INDUSINDBK
2018-03-13,JSWSTEEL,TITAN,TCS,WIPRO
2018-03-14,NTPC,HCLTECH,BHARTIARTL,EICHERMOT
2018-03-15,WIPRO,BHARTIARTL,TECHM,NTPC
2018-03-16,DIVISLAB,HINDALCO,M&M,TITAN
2018-03-19,LT,HDFC,UPL,CIPLA
2018-03-20,TATACONSUM,TCS,BHARTIARTL,NTPC
2018-03-21,BAJAJFINSV,HDFCBANK,NTPC,UPL
2018-03-22,SUNPHARMA,BHARTIARTL,NTPC,TCS
2018-03-23,HINDALCO,BHARTIARTL,DRREDDY,NTPC
2018-03-26,SBIN,NTPC,BAJAJFINSV,ONGC
2018-03-27,HDFC,DIVISLAB,WIPRO,TITAN
2018-03-28,DIVISLAB,ULTRACEMCO,NTPC,BAJAJFINSV
2018-04-02,RELIANCE,WIPRO,UPL,MARUTI
2018-04-03,TITAN,ULTRACEMCO,BRITANNIA,BAJAJFINSV
2018-04-04,RELIANCE,SUNPHARMA,ULTRACEMCO,BAJAJFINSV
2018-04-05,EICHERMOT,M&M,BAJAJFINSV,HDFC
2018-04-06,ONGC,TATACONSUM,SBIN,BAJAJFINSV
2018-04-09,CIPLA,NTPC,APOLLOHOSP,BAJAJFINSV
2018-04-10,BAJAJFINSV,NTPC,SBIN,BHARTIARTL
2018-04-11,ONGC,TATAMOTORS,APOLLOHOSP,NTPC
2018-04-12,TITAN,ONGC,APOLLOHOSP,NTPC
2018-04-13,WIPRO,NTPC,SBIN,TATASTEEL
2018-04-16,BRITANNIA,HINDUNILVR,NTPC,EICHERMOT
2018-04-17,POWERGRID,HINDUNILVR,TATASTEEL,KOTAKBANK
2018-04-18,TITAN,BAJAJ-AUTO,TATAMOTORS,ICICIBANK
2018-04-19,INFY,NESTLEIND,TATAMOTORS,HINDUNILVR
2018-04-20,SBIN,ONGC,WIPRO,TATASTEEL
2018-04-23,TECHM,HEROMOTOCO,HCLTECH,TATASTEEL
2018-04-24,KOTAKBANK,UPL,TATASTEEL,HCLTECH
2018-04-25,ADANIPORTS,BPCL,M&M,NTPC
2018-04-26,INDUSINDBK,TATASTEEL,BAJAJ-AUTO,M&M
2018-04-27,TATASTEEL,RELIANCE,TECHM,M&M
2018-04-30,BHARTIARTL,SUNPHARMA,KOTAKBANK,BAJAJ-AUTO
2018-05-02,BAJAJ-AUTO,TATASTEEL,M&M,KOTAKBANK
2018-05-03,RELIANCE,TATASTEEL,BAJAJ-AUTO,KOTAKBANK
2018-05-04,KOTAKBANK,BPCL,HDFCBANK,ADANIPORTS
2018-05-07,HINDUNILVR,TECHM,HCLTECH,NTPC
2018-05-08,KOTAKBANK,TITAN,ICICIBANK,M&M
2018-05-09,BPCL,TITAN,HINDUNILVR,ONGC
2018-05-10,TITAN,HEROMOTOCO,TATASTEEL,ASIANPAINT
2018-05-11,TITAN,DRREDDY,APOLLOHOSP,ASIANPAINT
2018-05-14,BAJAJ-AUTO,BRITANNIA,DRREDDY,ASIANPAINT
2018-05-15,APOLLOHOSP,BRITANNIA,ONGC,HDFC
2018-05-16,TATACONSUM,ASIANPAINT,BHARTIARTL,TATAMOTORS
2018-05-17,JSWSTEEL,HDFC,TATAMOTORS,TATACONSUM
2018-05-18,BAJFINANCE,BAJAJ-AUTO,SUNPHARMA,TECHM
2018-05-21,KOTAKBANK,BAJAJFINSV,UPL,HDFC
2018-05-22,TATACONSUM,BRITANNIA,BHARTIARTL,ULTRACEMCO
2018-05-23,TATACONSUM,GRASIM,BAJFINANCE,BAJAJFINSV
2018-05-24,LT,BHARTIARTL,INDUSINDBK,SHREECEM
2018-05-25,TECHM,INDUSINDBK,TATAMOTORS,BAJAJFINSV
2018-05-28,M&M,BRITANNIA,BAJAJFINSV,BAJFINANCE
2018-05-29,SBIN,BAJFINANCE,LT,NTPC
2018-05-30,HCLTECH,TECHM,BHARTIARTL,M&M
2018-05-31,BAJFINANCE,TCS,HEROMOTOCO,BAJAJFINSV
2018-06-01,TCS,ICICIBANK,BRITANNIA,BAJFINANCE
2018-06-04,HINDALCO,KOTAKBANK,HEROMOTOCO,HDFCBANK
2018-06-05,HCLTECH,EICHERMOT,BHARTIARTL,M&M
2018-06-06,WIPRO,HCLTECH,SUNPHARMA,BAJAJFINSV
2018-06-07,M&M,KOTAKBANK,HEROMOTOCO,BAJAJFINSV
2018-06-08,M&M,TATACONSUM,BRITANNIA,TATAMOTORS
2018-06-11,RELIANCE,HCLTECH,BAJAJFINSV,SUNPHARMA
2018-06-12,SUNPHARMA,DRREDDY,UPL,BAJAJFINSV
2018-06-13,TATASTEEL,DRREDDY,SHREECEM,NTPC
2018-06-14,HCLTECH,SHREECEM,CIPLA,DRREDDY
2018-06-15,TCS,DRREDDY,SUNPHARMA,CIPLA
2018-06-18,TATASTEEL,APOLLOHOSP,SUNPHARMA,CIPLA
2018-06-19,DRREDDY,ICICIBANK,SUNPHARMA,CIPLA
2018-06-20,APOLLOHOSP,DRREDDY,AXISBANK,CIPLA
2018-06-21,CIPLA,SUNPHARMA,JSWSTEEL,HINDUNILVR
2018-06-22,RELIANCE,APOLLOHOSP,HCLTECH,BHARTIARTL
2018-06-25,M&M,NTPC,CIPLA,BAJAJFINSV
2018-06-26,TATACONSUM,SBIN,NTPC,BAJAJFINSV
2018-06-27,UPL,TATASTEEL,POWERGRID,BAJAJFINSV
2018-06-28,BHARTIARTL,POWERGRID,HCLTECH,BRITANNIA
2018-06-29,INDUSINDBK,JSWSTEEL,EICHERMOT,BHARTIARTL
2018-07-02,BHARTIARTL,TATAMOTORS,CIPLA,APOLLOHOSP
2018-07-03,ASIANPAINT,EICHERMOT,APOLLOHOSP,HINDALCO
2018-07-04,MARUTI,SUNPHARMA,INDUSINDBK,CIPLA
2018-07-05,DRREDDY,KOTAKBANK,RELIANCE,BHARTIARTL
2018-07-06,APOLLOHOSP,BHARTIARTL,BAJAJ-AUTO,NTPC
2018-07-09,TATAMOTORS,INDUSINDBK,M&M,TATACONSUM
2018-07-10,M&M,HINDALCO,BAJAJ-AUTO,INDUSINDBK
2018-07-11,HCLTECH,WIPRO,INDUSINDBK,TATASTEEL
2018-07-12,AXISBANK,TATASTEEL,RELIANCE,BAJAJ-AUTO
2018-07-13,BAJFINANCE,RELIANCE,WIPRO,BAJAJFINSV
2018-07-16,BAJAJ-AUTO,ULTRACEMCO,BAJAJFINSV,RELIANCE
2018-07-17,BHARTIARTL,HDFC,TATACONSUM,TATAMOTORS
2018-07-18,AXISBANK,TATAMOTORS,BHARTIARTL,RELIANCE
