2017-05-02,NTPC,HDFC,TATAMOTORS,HCLTECH
2017-05-03,CIPLA,NTPC,SUNPHARMA,APOLLOHOSP
2017-05-04,SUNPHARMA,HEROMOTOCO,CIPLA,NTPC
2017-05-05,CIPLA,TATAMOTORS,TATASTEEL,M&M
2017-05-08,CIPLA,TATASTEEL,HINDALCO,NESTLEIND
2017-05-09,NTPC,TATAMOTORS,RELIANCE,POWERGRID
2017-05-10,CIPLA,BPCL,NTPC,HINDALCO
2017-05-11,NTPC,NESTLEIND,MARUTI,BAJAJ-AUTO
2017-05-12,TATASTEEL,NESTLEIND,AXISBANK,NTPC
2017-05-15,NESTLEIND,TITAN,ITC,TCS
2017-05-16,NTPC,ADANIPORTS,CIPLA,NESTLEIND
2017-05-17,CIPLA,AXISBANK,M&M,ADANIPORTS
2017-05-18,EICHERMOT,TATACONSUM,AXISBANK,NESTLEIND
2017-05-19,CIPLA,ASIANPAINT,APOLLOHOSP,M&M
2017-05-22,APOLLOHOSP,BHARTIARTL,ITC,NESTLEIND
2017-05-23,BAJFINANCE,CIPLA,NESTLEIND,SBIN
2017-05-24,NESTLEIND,BAJFINANCE,ONGC,RELIANCE
2017-05-25,BAJFINANCE,SBIN,NESTLEIND,GRASIM
2017-05-26,BAJFINANCE,CIPLA,NESTLEIND,RELIANCE
2017-05-29,TECHM,BAJFINANCE,ONGC,CIPLA
2017-05-30,SBIN,BAJFINANCE,WIPRO,ONGC
2017-05-31,APOLLOHOSP,SBIN,TATASTEEL,BRITANNIA
2017-06-01,SBIN,APOLLOHOSP,TATASTEEL,INDUSINDBK
2017-06-02,SBIN,BAJAJ-AUTO,BHARTIARTL,NTPC
2017-06-05,SBIN,ONGC,NTPC,HCLTECH
2017-06-06,JSWSTEEL,TCS,ASIANPAINT,UPL
2017-06-07,BAJAJ-AUTO,ONGC,UPL,TCS
2017-06-08,ONGC,BAJAJ-AUTO,SBIN,WIPRO
2017-06-09,APOLLOHOSP,INDUSINDBK,ONGC,BAJAJ-AUTO
2017-06-12,BAJAJ-AUTO,UPL,TCS,BAJFINANCE
2017-06-13,INDUSINDBK,BAJAJ-AUTO,SHREECEM,UPL
2017-06-14,ONGC,BAJAJ-AUTO,UPL,CIPLA
2017-06-15,CIPLA,BAJAJ-AUTO,UPL,SHREECEM
2017-06-16,BAJAJ-AUTO,INDUSINDBK,ONGC,NESTLEIND
2017-06-19,ONGC,CIPLA,WIPRO,INDUSINDBK
2017-06-20,BHARTIARTL,BAJAJ-AUTO,APOLLOHOSP,WIPRO
2017-06-21,BHARTIARTL,ULTRACEMCO,WIPRO,DRREDDY
2017-06-22,BHARTIARTL,TATASTEEL,ONGC,BAJAJ-AUTO
2017-06-23,TATASTEEL,WIPRO,TATACONSUM,TITAN
2017-06-27,TATASTEEL,BHARTIARTL,SBIN,TITAN
2017-06-28,TATASTEEL,SBIN,EICHERMOT,HCLTECH
2017-06-29,BHARTIARTL,TATASTEEL,APOLLOHOSP,M&M
2017-06-30,TATASTEEL,BHARTIARTL,EICHERMOT,WIPRO
2017-07-03,BAJAJ-AUTO,APOLLOHOSP,TATASTEEL,NESTLEIND
2017-07-04,BAJAJ-AUTO,WIPRO,TATASTEEL,ITC
2017-07-05,TATASTEEL,APOLLOHOSP,BAJAJ-AUTO,HCLTECH
2017-07-06,TATASTEEL,BAJAJ-AUTO,APOLLOHOSP,INDUSINDBK
2017-07-07,TATASTEEL,APOLLOHOSP,BAJAJ-AUTO,WIPRO
2017-07-10,BHARTIARTL,M&M,SBIN,HCLTECH
2017-07-11,APOLLOHOSP,SBIN,HDFCBANK,HCLTECH
2017-07-12,APOLLOHOSP,INFY,CIPLA,BAJFINANCE
2017-07-13,AXISBANK,CIPLA,TITAN,DRREDDY
2017-07-14,TATASTEEL,ASIANPAINT,JSWSTEEL,APOLLOHOSP
2017-07-17,HCLTECH,APOLLOHOSP,EICHERMOT,INFY
2017-07-18,INFY,DRREDDY,SHREECEM,AXISBANK
2017-07-19,TCS,RELIANCE,INFY,TATACONSUM
2017-07-20,INDUSINDBK,NESTLEIND,BAJAJ-AUTO,TATAMOTORS
2017-07-21,BAJAJ-AUTO,NESTLEIND,TATASTEEL,SHREECEM
2017-07-24,BPCL,NESTLEIND,BAJAJ-AUTO,INFY
2017-07-25,TATACONSUM,JSWSTEEL,NESTLEIND,NTPC
2017-07-26,HCLTECH,NTPC,TITAN,ASIANPAINT
2017-07-27,JSWSTEEL,TITAN,TECHM,DRREDDY
2017-07-28,BAJFINANCE,BAJAJ-AUTO,ONGC,ICICIBANK
2017-07-31,INFY,HCLTECH,NTPC,POWERGRID
2017-08-01,INFY,HCLTECH,HEROMOTOCO,GRASIM
2017-08-02,BAJAJ-AUTO,CIPLA,NTPC,APOLLOHOSP
2017-08-03,HEROMOTOCO,NTPC,BPCL,KOTAKBANK
2017-08-04,ITC,CIPLA,HDFCBANK,TCS
2017-08-07,HDFC,M&M,HEROMOTOCO,UPL
2017-08-08,NESTLEIND,GRASIM,INFY,CIPLA
2017-08-09,DRREDDY,ADANIPORTS,BHARTIARTL,HCLTECH
2017-08-10,SUNPHARMA,JSWSTEEL,BHARTIARTL,AXISBANK
2017-08-11,TITAN,TATACONSUM,AXISBANK,SUNPHARMA
2017-08-14,TATACONSUM,SUNPHARMA,NTPC,DRREDDY
2017-08-16,APOLLOHOSP,NTPC,INFY,BPCL
2017-08-17,APOLLOHOSP,ASIANPAINT,BHARTIARTL,M&M
2017-08-18,BRITANNIA,APOLLOHOSP,UPL,LT
2017-08-21,APOLLOHOSP,SHREECEM,BAJAJ-AUTO,AXISBANK
2017-08-22,APOLLOHOSP,BHARTIARTL,AXISBANK,UPL
2017-08-23,SHREECEM,UPL,LT,NESTLEIND
2017-08-24,CIPLA,M&M,UPL,INFY
2017-08-28,SBIN,HCLTECH,ASIANPAINT,WIPRO
2017-08-29,TCS,SHREECEM,NESTLEIND,UPL
2017-08-30,APOLLOHOSP,SHREECEM,NESTLEIND,ASIANPAINT
2017-08-31,APOLLOHOSP,SHREECEM,NESTLEIND,M&M
2017-09-01,INDUSINDBK,SHREECEM,NESTLEIND,TECHM
2017-09-04,NESTLEIND,LT,INDUSINDBK,ULTRACEMCO
2017-09-05,INDUSINDBK,NESTLEIND,HCLTECH,TITAN
2017-09-06,INDUSINDBK,SHREECEM,APOLLOHOSP,BRITANNIA
2017-09-07,NESTLEIND,M&M,APOLLOHOSP,BPCL
2017-09-08,UPL,APOLLOHOSP,ASIANPAINT,SHREECEM
2017-09-11,POWERGRID,NESTLEIND,SHREECEM,HDFC
2017-09-12,APOLLOHOSP,CIPLA,M&M,BAJAJ-AUTO
2017-09-13,EICHERMOT,INDUSINDBK,CIPLA,NESTLEIND
2017-09-14,NESTLEIND,INDUSINDBK,POWERGRID,NTPC
2017-09-15,TECHM,ASIANPAINT,BAJAJ-AUTO,M&M
2017-09-18,DRREDDY,POWERGRID,SBIN,WIPRO
2017-09-19,NESTLEIND,SHREECEM,DIVISLAB,NTPC
2017-09-20,BPCL,NTPC,AXISBANK,SHREECEM
2017-09-21,M&M,BPCL,UPL,NESTLEIND
2017-09-22,M&M,BPCL,SHREECEM,UPL
2017-09-25,BHARTIARTL,M&M,INFY,TECHM
2017-09-26,BHARTIARTL,JSWSTEEL,DIVISLAB,BAJFINANCE
2017-09-27,DIVISLAB,BPCL,ASIANPAINT,BHARTIARTL
2017-09-28,BAJFINANCE,BHARTIARTL,M&M,SHREECEM
2017-09-29,TITAN,M&M,ASIANPAINT,BPCL
2017-10-03,TITAN,TATASTEEL,ADANIPORTS,HDFC
2017-10-04,SHREECEM,POWERGRID,AXISBANK,CIPLA
2017-10-05,ICICIBANK,INDUSINDBK,SHREECEM,EICHERMOT
2017-10-06,POWERGRID,ICICIBANK,HINDALCO,TATASTEEL
2017-10-09,UPL,HINDALCO,TATASTEEL,TECHM
2017-10-10,ASIANPAINT,POWERGRID,SHREECEM,ONGC
2017-10-11,BHARTIARTL,SHREECEM,HINDALCO,BAJAJ-AUTO
2017-10-12,UPL,ICICIBANK,ASIANPAINT,SHREECEM
2017-10-13,UPL,POWERGRID,SHREECEM,ASIANPAINT
2017-10-16,TITAN,SBIN,APOLLOHOSP,NESTLEIND
2017-10-17,LT,HCLTECH,TECHM,SHREECEM
2017-10-18,ICICIBANK,SHREECEM,INDUSINDBK,GRASIM
2017-10-19,HCLTECH,LT,ADANIPORTS,AXISBANK
2017-10-23,AXISBANK,BAJAJ-AUTO,TATASTEEL,LT
2017-10-24,M&M,AXISBANK,ONGC,DIVISLAB
2017-10-25,BAJAJFINSV,INDUSINDBK,HCLTECH,TATASTEEL
2017-10-26,POWERGRID,TATASTEEL,BRITANNIA,BHARTIARTL
2017-10-27,SBIN,WIPRO,TATASTEEL,POWERGRID
2017-10-30,WIPRO,INFY,ASIANPAINT,POWERGRID
2017-10-31,INDUSINDBK,BAJAJ-AUTO,JSWSTEEL,TATASTEEL
2017-11-01,NESTLEIND,SBIN,TCS,LT
2017-11-02,HINDALCO,KOTAKBANK,TECHM,NTPC
2017-11-03,INDUSINDBK,ONGC,LT,SBIN
2017-11-06,BAJAJFINSV,INDUSINDBK,KOTAKBANK,MARUTI
2017-11-07,KOTAKBANK,HDFC,ASIANPAINT,ADANIPORTS
2017-11-08,TATACONSUM,BAJAJFINSV,LT,NTPC
2017-11-09,BAJFINANCE,LT,DIVISLAB,BPCL
2017-11-10,TATAMOTORS,KOTAKBANK,HINDUNILVR,RELIANCE
2017-11-13,HCLTECH,LT,BRITANNIA,WIPRO
2017-11-14,HCLTECH,SBIN,ULTRACEMCO,CIPLA
2017-11-15,TITAN,ONGC,HINDUNILVR,RELIANCE
2017-11-16,ULTRACEMCO,HCLTECH,INDUSINDBK,KOTAKBANK
2017-11-17,HCLTECH,WIPRO,TATASTEEL,DRREDDY
2017-11-20,SBIN,UPL,HINDALCO,HCLTECH
2017-11-21,HCLTECH,SBIN,INDUSINDBK,ICICIBANK
2017-11-22,HCLTECH,UPL,INFY,GRASIM
2017-11-23,HINDUNILVR,NTPC,INFY,EICHERMOT
2017-11-24,SBIN,BPCL,HINDUNILVR,BHARTIARTL
2017-11-27,HINDUNILVR,ULTRACEMCO,BPCL,TATACONSUM
2017-11-28,BHARTIARTL,HINDUNILVR,ADANIPORTS,TATACONSUM
2017-11-29,SBIN,ONGC,BPCL,TATACONSUM
2017-11-30,ONGC,BPCL,BHARTIARTL,HCLTECH
2017-12-01,HINDUNILVR,HCLTECH,BHARTIARTL,TATASTEEL
2017-12-04,UPL,HINDUNILVR,CIPLA,TATASTEEL
2017-12-05,ONGC,SBIN,CIPLA,UPL
2017-12-06,ONGC,SBIN,UPL,EICHERMOT
2017-12-07,SBIN,SHREECEM,UPL,ONGC
2017-12-08,SHREECEM,TATASTEEL,ONGC,EICHERMOT
2017-12-11,TATASTEEL,SBIN,INDUSINDBK,RELIANCE
2017-12-12,SBIN,HINDALCO,NESTLEIND,RELIANCE
2017-12-13,INFY,HINDUNILVR,HCLTECH,POWERGRID
2017-12-14,SHREECEM,BAJFINANCE,BAJAJFINSV,HCLTECH
2017-12-15,TATASTEEL,INDUSINDBK,WIPRO,NTPC
2017-12-18,MARUTI,ICICIBANK,WIPRO,TATACONSUM
2017-12-19,SBIN,INFY,APOLLOHOSP,GRASIM
2017-12-20,GRASIM,INDUSINDBK,HCLTECH,APOLLOHOSP
2017-12-21,SHREECEM,ITC,KOTAKBANK,INDUSINDBK
2017-12-22,HDFC,UPL,SBIN,ASIANPAINT
2017-12-26,HDFC,POWERGRID,INFY,SHREECEM
2017-12-27,BHARTIARTL,ICICIBANK,UPL,POWERGRID
2017-12-28,HINDALCO,INDUSINDBK,AXISBANK,HCLTECH
2017-12-29,SBIN,INDUSINDBK,ASIANPAINT,INFY
