2013-05-23,M&M,ASIANPAINT,AXISBANK
2013-05-24,SUNPHARMA,SBIN,BAJFINANCE
2013-05-27,HDFCBANK,SBIN,APOLLOHOSP
2013-05-28,NTPC,SHREECEM,SBIN
2013-05-29,NTPC,HINDUNILVR,HEROMOTOCO
2013-05-30,ONGC,CIPLA,ICICIBANK
2013-05-31,BAJAJFINSV,ONGC,HEROMOTOCO
2013-06-03,HDFC,M&M,NTPC
2013-06-04,KOTAKBANK,TATACONSUM,MARUTI
2013-06-05,KOTAKBANK,ITC,POWERGRID
2013-06-06,TITAN,TATACONSUM,HDFCBANK
2013-06-07,SUNPHARMA,ITC,ULTRACEMCO
2013-06-10,BAJAJFINSV,ITC,SBIN
2013-06-11,M&M,ULTRACEMCO,ONGC
2013-06-12,BAJAJFINSV,EICHERMOT,INFY
2013-06-13,SUNPHARMA,ULTRACEMCO,WIPRO
2013-06-14,WIPRO,ULTRACEMCO,SUNPHARMA
2013-06-17,ITC,HCLTECH,ULTRACEMCO
2013-06-18,EICHERMOT,TECHM,SBIN
2013-06-19,TATACONSUM,BHARTIARTL,HDFCBANK
2013-06-20,DRREDDY,MARUTI,M&M
2013-06-21,ADANIPORTS,BAJAJ-AUTO,APOLLOHOSP
2013-06-24,BAJAJFINSV,TECHM,ASIANPAINT
2013-06-25,HCLTECH,DIVISLAB,ITC
2013-06-26,EICHERMOT,SBIN,BAJAJ-AUTO
2013-06-27,EICHERMOT,SBIN,BAJFINANCE
2013-06-28,HINDALCO,APOLLOHOSP,INDUSINDBK
2013-07-01,INDUSINDBK,TATAMOTORS,TATACONSUM
2013-07-02,GRASIM,MARUTI,DIVISLAB
2013-07-03,ICICIBANK,BAJAJ-AUTO,ONGC
2013-07-04,BAJAJ-AUTO,BRITANNIA,BPCL
2013-07-05,TITAN,INDUSINDBK,M&M
2013-07-08,UPL,TATACONSUM,WIPRO
2013-07-09,TATASTEEL,MARUTI,EICHERMOT
2013-07-10,HDFC,MARUTI,TATACONSUM
2013-07-11,SBIN,DRREDDY,BAJFINANCE
2013-07-12,BRITANNIA,BAJAJFINSV,CIPLA
2013-07-15,GRASIM,BAJAJFINSV,BAJFINANCE
2013-07-16,ITC,ASIANPAINT,INFY
