2013-03-21,ADANIPORTS,JSWSTEEL,BHARTIARTL,TATACONSUM,BPCL,HEROMOTOCO
2013-03-22,HCLTECH,INDUSINDBK,SBIN,ONGC,JSWSTEEL,ADANIPORTS
2013-03-25,INDUSINDBK,NTPC,JSWSTEEL,ADANIPORTS,BRITANNIA,HINDUNILVR
2013-03-26,ULTRACEMCO,BAJAJFINSV,BRITANNIA,ADANIPORTS,JSWSTEEL,TATASTEEL
2013-03-28,BAJAJFINSV,APOLLOHOSP,WIPRO,UPL,NTPC,ASIANPAINT
2013-04-01,TATASTEEL,JSWSTEEL,TATACONSUM,SUNPHARMA,UPL,BPCL
2013-04-02,JSWSTEEL,EICHERMOT,BHARTIARTL,INFY,ONGC,INDUSINDBK
2013-04-03,BHARTIARTL,INDUSINDBK,HINDUNILVR,TITAN,WIPRO,HDFC
2013-04-04,ASIANPAINT,INDUSINDBK,ULTRACEMCO,SBIN,HDFCBANK,KOTAKBANK
2013-04-05,WIPRO,BAJAJFINSV,ULTRACEMCO,DRREDDY,TCS,EICHERMOT
2013-04-08,DIVISLAB,APOLLOHOSP,SBIN,WIPRO,KOTAKBANK,INDUSINDBK
2013-04-09,EICHERMOT,SUNPHARMA,TATASTEEL,ULTRACEMCO,ASIANPAINT,BAJAJFINSV
2013-04-10,BAJAJFINSV,SBIN,NESTLEIND,BAJAJ-AUTO,ITC,HCLTECH
2013-04-11,BAJFINANCE,M&M,BAJAJFINSV,BPCL,DIVISLAB,NESTLEIND
2013-04-12,INDUSINDBK,TATASTEEL,WIPRO,HCLTECH,TECHM,DIVISLAB
2013-04-15,NTPC,TATACONSUM,APOLLOHOSP,ADANIPORTS,TITAN,GRASIM
2013-04-16,BRITANNIA,ULTRACEMCO,EICHERMOT,SUNPHARMA,TATACONSUM,HCLTECH
2013-04-17,ULTRACEMCO,SUNPHARMA,HDFC,BAJAJFINSV,DRREDDY,INDUSINDBK
2013-04-18,NTPC,EICHERMOT,BAJAJFINSV,KOTAKBANK,POWERGRID,CIPLA
2013-04-22,WIPRO,TECHM,POWERGRID,SBIN,TATASTEEL,NESTLEIND
2013-04-23,SBIN,GRASIM,NTPC,DIVISLAB,HINDALCO,HDFC
2013-04-25,DIVISLAB,BRITANNIA,ADANIPORTS,NESTLEIND,POWERGRID,INFY
2013-04-26,ADANIPORTS,APOLLOHOSP,DIVISLAB,EICHERMOT,BHARTIARTL,TATASTEEL
2013-04-29,ADANIPORTS,BHARTIARTL,HCLTECH,EICHERMOT,POWERGRID,BRITANNIA
2013-04-30,POWERGRID,UPL,TATASTEEL,GRASIM,HCLTECH,KOTAKBANK
2013-05-02,ONGC,SUNPHARMA,M&M,BRITANNIA,POWERGRID,KOTAKBANK
2013-05-03,BHARTIARTL,TATACONSUM,ONGC,GRASIM,DRREDDY,SHREECEM
2013-05-06,HEROMOTOCO,NTPC,SBIN,POWERGRID,BRITANNIA,AXISBANK
2013-05-07,POWERGRID,BRITANNIA,TITAN,EICHERMOT,SHREECEM,SBIN
2013-05-08,SBIN,DIVISLAB,NTPC,POWERGRID,BRITANNIA,TITAN
2013-05-09,NTPC,SUNPHARMA,JSWSTEEL,BRITANNIA,CIPLA,M&M
2013-05-10,NTPC,BRITANNIA,LT,AXISBANK,KOTAKBANK,POWERGRID
2013-05-13,BRITANNIA,ADANIPORTS,DIVISLAB,POWERGRID,LT,SBIN
2013-05-14,SBIN,BRITANNIA,HEROMOTOCO,TCS,BAJFINANCE,SHREECEM
2013-05-15,BRITANNIA,BPCL,BAJAJFINSV,SUNPHARMA,NESTLEIND,WIPRO
2013-05-16,SBIN,SUNPHARMA,ULTRACEMCO,MARUTI,INFY,ASIANPAINT
2013-05-17,TITAN,M&M,TATACONSUM,NESTLEIND,HINDALCO,KOTAKBANK
