2019-04-01,KOTAKBANK,CIPLA,POWERGRID,INFY,NTPC
2019-04-02,INFY,ASIANPAINT,BAJAJ-AUTO,BHARTIARTL,NTPC
2019-04-03,HEROMOTOCO,KOTAKBANK,INFY,INDUSINDBK,ULTRACEMCO
2019-04-04,HEROMOTOCO,NESTLEIND,INFY,INDUSINDBK,ONGC
2019-04-05,HEROMOTOCO,INFY,NTPC,NESTLEIND,ICICIBANK
2019-04-08,INFY,BHARTIARTL,DRREDDY,HCLTECH,ASIANPAINT
2019-04-09,HCLTECH,BHARTIARTL,ASIANPAINT,DRREDDY,AXISBANK
2019-04-10,ADANIPORTS,POWERGRID,BAJAJFINSV,SUNPHARMA,HEROMOTOCO
2019-04-11,APOLLOHOSP,HCLTECH,AXISBANK,TATAMOTORS,SUNPHARMA
2019-04-12,HCLTECH,SBIN,INDUSINDBK,AXISBANK,HEROMOTOCO
2019-04-15,INDUSINDBK,ULTRACEMCO,TECHM,ADANIPORTS,HINDUNILVR
2019-04-16,ONGC,BAJAJFINSV,HDFCBANK,INDUSINDBK,NTPC
2019-04-18,SHREECEM,BAJAJFINSV,DIVISLAB,INDUSINDBK,APOLLOHOSP
2019-04-22,KOTAKBANK,INFY,BAJAJFINSV,UPL,AXISBANK
2019-04-23,SBIN,HCLTECH,BAJFINANCE,ULTRACEMCO,MARUTI
2019-04-24,UPL,ADANIPORTS,BAJAJ-AUTO,SBIN,HCLTECH
2019-04-25,CIPLA,ADANIPORTS,SUNPHARMA,AXISBANK,TATAMOTORS
2019-04-26,INFY,KOTAKBANK,POWERGRID,ADANIPORTS,HDFC
2019-04-30,BAJAJ-AUTO,INFY,ADANIPORTS,ITC,HCLTECH
2019-05-02,SBIN,ULTRACEMCO,BAJAJ-AUTO,ICICIBANK,TATACONSUM
2019-05-03,ADANIPORTS,TECHM,SBIN,ULTRACEMCO,INFY
2019-05-06,UPL,CIPLA,KOTAKBANK,INFY,BAJFINANCE
2019-05-07,BAJAJ-AUTO,KOTAKBANK,HCLTECH,ULTRACEMCO,CIPLA
2019-05-08,BAJAJ-AUTO,NESTLEIND,TECHM,INFY,KOTAKBANK
2019-05-09,ONGC,TATASTEEL,SBIN,UPL,HCLTECH
2019-05-10,ASIANPAINT,HCLTECH,KOTAKBANK,ONGC,CIPLA
2019-05-13,RELIANCE,CIPLA,ULTRACEMCO,KOTAKBANK,WIPRO
2019-05-14,KOTAKBANK,SBIN,BAJAJ-AUTO,NESTLEIND,ULTRACEMCO
2019-05-15,KOTAKBANK,ULTRACEMCO,CIPLA,BAJAJ-AUTO,ITC
2019-05-16,HEROMOTOCO,KOTAKBANK,AXISBANK,DRREDDY,CIPLA
2019-05-17,NESTLEIND,CIPLA,TATASTEEL,LT,TATAMOTORS
2019-05-20,INDUSINDBK,HCLTECH,TCS,ULTRACEMCO,TECHM
2019-05-21,DRREDDY,TCS,INDUSINDBK,TECHM,HCLTECH
2019-05-22,INFY,TECHM,INDUSINDBK,SBIN,BPCL
2019-05-23,HCLTECH,HEROMOTOCO,NTPC,TECHM,EICHERMOT
2019-05-24,HDFC,DRREDDY,ONGC,TCS,INDUSINDBK
